pack_name,pack_path,exists,member_count,member_name,sha256,appid,appver,role
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,start.mr,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,netset.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,select_h.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,menu_h.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,arrow.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,button.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,checkbo.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,msgbox.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,setting.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,func_set.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,select.bmp,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,reg.ext,,,,member
reglogin.mrp,game_files/mythroad/320x480/gwy/reglogin.mrp,1,1,reglogin.ext,,,,member
resmng.mrp,game_files/mythroad/320x480/gwy/resmng.mrp,1,4,,9d036ac6c696442c4508d7076b671d94fa96868bd4df9593e33b515b34fbc060,0x61AE5,0x3EA,shell
resmng.mrp,game_files/mythroad/320x480/gwy/resmng.mrp,1,1,start.mr,,,,member
resmng.mrp,game_files/mythroad/320x480/gwy/resmng.mrp,1,1,headpic.bmp,,,,member
resmng.mrp,game_files/mythroad/320x480/gwy/resmng.mrp,1,1,reg.ext,,,,member
resmng.mrp,game_files/mythroad/320x480/gwy/resmng.mrp,1,1,resmng.ext,,,,member
font.mrp,game_files/mythroad/320x480/gwy/font.mrp,1,27,,0772f152c32910869bda88cfc486ef0903d958073ae3aab270580acb14e7580c,0x61AE5,0x20,shell
font.mrp,game_files/mythroad/320x480/gwy/font.mrp,1,1,start.mr,,,,member
font.mrp,game_files/mythroad/320x480/gwy/font.mrp,1,1,reg.ext,,,,member
font.mrp,game_files/mythroad/320x480/gwy/font.mrp,1,1,font.ext,,,,member
