n,tick,pc,lr,off,old,new,note
1,1,0x0,0x0,0xBD0,0x0,0x0,before_seed
2,1,0x0,0x0,0xBD0,0x0,0x314338,assist_seed_BD0
3,1,0x0,0x0,0xBCC,0x0,0x4,assist_seed_count
