run_id,tx_id,method,phase,helper,P,erw,pc,lr,sp,r9,depth,init_depth,ret,timer_deferred,note
1784720682124,3,6,ENTER,0x2E3089,0x2AC8DC,0x682B6C,0x28025C,0xA2548,0x27FB48,0x280400,3,1,,0,method_enter
1784720682124,3,6,RETURN,0x0,0x0,0x0,0x28025C,0xA2548,0x27FB48,0x280400,3,1,0,0,method_return
1784720682124,3,8,ENTER,0x2E3089,0x2AC8DC,0x682B6C,0x28025C,0xA2548,0x27FB48,0x280400,3,1,,0,method_enter
1784720682124,3,8,RETURN,0x0,0x0,0x0,0x28025C,0xA2548,0x27FB48,0x280400,3,1,0,0,method_return
1784720682124,3,0,ENTER,0x2E3089,0x2AC8DC,0x682B6C,0x28025C,0xA2548,0x27FB48,0x280400,3,1,,0,method_enter
