t_sec,event,phase,frame_id,parent_frame_id,start_dsm_depth,run_depth,run_serial,pc,lr,sp,r9,cpsr,ret,mutex_held,thread_id,extra
68.699796,HELPER_BEFORE_r9_switch_leave,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,2622436,1,27960,HELPER_BEFORE_r9_switch_leave
68.804257,HELPER_AFTER_r9_switch_leave,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,2622436,1,27960,HELPER_AFTER_r9_switch_leave
68.842794,HELPER_BEFORE_uc_reg_read_R0,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,2622436,1,27960,HELPER_BEFORE_uc_reg_read_R0
68.879958,HELPER_AFTER_uc_reg_read_R0,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,1,27960,HELPER_AFTER_uc_reg_read_R0
68.924801,HELPER_BEFORE_e10a31d_helper_return,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,1,27960,HELPER_BEFORE_e10a31d_helper_return
68.964130,HELPER_AFTER_e10a31d_helper_return,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,1,27960,HELPER_AFTER_e10a31d_helper_return
69.001023,HELPER_BEFORE_gwy_ext_obs_helper_call,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,1,27960,HELPER_BEFORE_gwy_ext_obs_helper_call
69.072924,HELPER_AFTER_gwy_ext_obs_helper_call,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,1,27960,HELPER_AFTER_gwy_ext_obs_helper_call
69.108736,HELPER_BEFORE_bridge_uc_restore_regs,helper_tail,1,0,1,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,1,27960,HELPER_BEFORE_bridge_uc_restore_regs
69.145563,HELPER_AFTER_bridge_uc_restore_regs,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x0,0x200001D3,0,1,27960,HELPER_AFTER_bridge_uc_restore_regs
69.182198,HELPER_BEFORE_ensure_dsm_r9,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x0,0x200001D3,0,1,27960,HELPER_BEFORE_ensure_dsm_r9
69.262988,HELPER_AFTER_ensure_dsm_r9,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,HELPER_AFTER_ensure_dsm_r9
69.302769,HELPER_BEFORE_deliver_ext_init_seq_after,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,HELPER_BEFORE_deliver_ext_init_seq_after
69.423302,HELPER_AFTER_deliver_ext_init_seq_after,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,HELPER_AFTER_deliver_ext_init_seq_after
69.460164,HELPER_BEFORE_try_product_handshake,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,HELPER_BEFORE_try_product_handshake
69.496078,HELPER_AFTER_try_product_handshake,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,HELPER_AFTER_try_product_handshake
69.528990,HELPER_BEFORE_e10a31c_leave,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,HELPER_BEFORE_e10a31c_leave
69.562116,HELPER_AFTER_e10a31c_leave,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,HELPER_AFTER_e10a31c_leave
69.592658,BRIDGE_MR_EXTHELPER_RETURN,helper_tail,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,return
69.623263,MR_EVENT_FRAME_AFTER_RUN,bridge_mr_event,2,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,helper_returned
69.659486,MR_EVENT_FRAME_LEAVE,bridge_mr_event,2,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,caseA_no_post_nested_host_reread
69.703552,START_DSM_EVENT_RETURN,MR_START_DSM,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,start_g=0x2829D4 fn_g=0x2829E4 ext_g=0x2829FC ent_g=0x282A0C parent_start_legacy=0x2803D4
69.753129,START_DSM_PARAM_OWNERSHIP_OK,post_event,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,saved_fn=0x2829E4 saved_ext=0x2829FC saved_ent=0x282A0C cur_fn=0x2829E4 cur_ext=0x2829FC cur_ent=0x282A0C match=1 legacy_global=0x2803D4
69.783649,START_DSM_AFTER_INITSEQ_ENTER,post_start_dsm,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
69.895294,START_DSM_AFTER_INITSEQ_RETURN,post_start_dsm,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
69.923904,START_DSM_FREE_ENTRY_BEFORE,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
69.972861,START_DSM_FREE_ENTRY_AFTER,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
70.003469,START_DSM_FREE_EXT_BEFORE,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
70.059066,START_DSM_FREE_EXT_AFTER,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
70.089396,START_DSM_FREE_FILENAME_BEFORE,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
70.140608,START_DSM_FREE_FILENAME_AFTER,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
70.170813,START_DSM_FREE_START_BEFORE,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
70.219640,START_DSM_FREE_START_AFTER,cleanup,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,-
70.265853,START_DSM_FRAME_LEAVE,unlocked,1,0,1,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,saved_fn=0x2829E4 saved_ext=0x2829FC saved_ent=0x282A0C cur_fn=0x2829E4 cur_ext=0x2829FC cur_ent=0x282A0C match=1 legacy_global=0x2803D4
70.297300,MUTEX_UNLOCK_BEGIN,start_dsm,0,0,0,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,1,27960,gwy/gbrwcore.mrp
70.332580,MUTEX_UNLOCK_END,start_dsm,0,0,0,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,0,27960,gwy/gbrwcore.mrp
70.385336,START_DSM_RETURN,start_dsm,0,0,0,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,0,27960,gwy/gbrwcore.mrp
70.461251,HOST_LOOP_REENTER,start_dsm_unlock,0,0,0,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,0,27960,post_start_dsm
