seq,pc,record_address,raw_record,flags30,index,opcode,slot_address,jt_entry,case_target,object,cursor_before,cursor_after,r0,r1,r2,r3,r4,r5,r9,sp,lr,note
1,0x9C40C,0x2AF8F8,0x800054,0x0,0x0,0x14,0x2AC9D4,0x9C5D8,0x9CD40,0x2A8264,0x2AF8F8,0x2AF8FC,0x2AF8F8,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x280400,0x27F9A0,0x9D0E0,"NORMAL_OPCODE_DISPATCH"
2,0x9C40C,0x2AF904,0x801B,0x0,0x0,0x1B,0x2AC9D4,0x9C5F4,0x9D1CC,0x2A8264,0x2AF904,0x2AF908,0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x280400,0x27F9A0,0x9D0E0,"NORMAL_OPCODE_DISPATCH"
