phase,object,plus08,plus0C,plus10,plus14,plus18,plus30
before,0x2A8264,0x2ACA14,0x2AC9EC,0x2A82BC,0x2A84E4,0x2ACC1C,0x100
after,0x2A8264,0x2AC9E4,0x2AC9D4,0x2A82BC,0x2A84CC,0x2ACC1C,0x100
