# run_id=p22n_20260802_042204_41306 commit=a8d5a94c062636562929968488f95a1941a73e72 main=1d228281c50e9d411fe6384c752dc3c26684bb0310684e4ffd4c007ec800f4fb raw_ext=70abc063dae99c95e7d9d7a44db5117c9512a430078c2672ecae9e28c3616414 gl_base=0x0 cf_base=0x0 helper=0x0 gl_erw=0x0 cf_erw=0x0 P=? gen=?
sequence,call_id,method,R9_actual,R9_owner,expected_child_R9,gamelist_ERW,cfunction_ERW,r9_depth,generation,P,contract
7,1,6,0x682B8C,UNKNOWN_NOT_EXPOSED,0x0,0x0,0x0,3,0,0x2AC8EC,UNKNOWN
12,2,0,0x682B8C,UNKNOWN_NOT_EXPOSED,0x0,0x0,0x280400,3,0,0x2AC8EC,UNKNOWN
17,3,1,0x682B8C,UNKNOWN_NOT_EXPOSED,0x0,0x0,0x280400,3,0,0x2AC8EC,UNKNOWN
23,4,2,0x682B8C,UNKNOWN_NOT_EXPOSED,0x0,0x0,0x280400,2,0,0x2AC8EC,UNKNOWN
26,5,2,0x682B8C,UNKNOWN_NOT_EXPOSED,0x0,0x0,0x280400,2,0,0x2AC8EC,UNKNOWN
