mrp_zip_path,member,unpacked_size,sha256,is_mrpgcmap,string_count,interesting_string_count,primary_guess_context
冒泡游戏320480/网游/gwy/gkdxy.mrp,reg.ext,700,f34d6652a24c1a6a5d3d27baa70bb88aa1bd6fb5e5f7d4804744ddf9afcc7a6e,True,8,1,gkdxy.ext
冒泡游戏320480/网游/gwy/gkdxy.mrp,gkdxy.ext,38444,4bd7b221fdc79b33cde8baf3be3cfc50a6244750eda6e3637d32d8dbe7418517,True,477,1,gkdxy.ext
冒泡游戏320480/网游/gwy/gui.mrp,gui.ext,41236,e2750586339218804ccfe8a9dbf230f5cc81c6f08ad8a09593e2f8b2508fd449,True,361,15,
冒泡游戏320480/网游/gwy/gui.mrp,reg.ext,1224,357db723255418cc033f9dc7fa3bc739cbc1d587f9aa1c097e3036dce80c372f,True,8,1,gui.ext
冒泡游戏320480/网游/gwy/hotchat.mrp,reg.ext,628,a7eb2c6494fb09e60a1510a53c5721184491965a4dc97dc626db631aee950edd,True,7,1,hotchat.ext
冒泡游戏320480/网游/gwy/hotchat.mrp,hotchat.ext,40976,efbe08cdd115b3c7ef8abc94266418da746de3c7d3090ba0e005482c5d4b59cf,True,524,16,hotchat.ext
冒泡游戏320480/网游/gwy/jjfb.mrp,mrc_loader.ext,232,d36151ee3c119717305afe4b1f0ba47f0f0154f8ba6f2c5081d6402c8eddd938,True,2,1,
冒泡游戏320480/网游/gwy/jjfb.mrp,bigworldmapmodule.ext,17360,baf01ab991598919473c35dc2e96c4574b10d62bf3c166c976a0437eda0ea3de,True,234,2,
冒泡游戏320480/网游/gwy/jjfb.mrp,mainmenumodule.ext,28712,ecad68139c8f94b379a8c88c7facf42da5b6778ea50cd5e8a99718a3b769b4cd,True,322,17,
冒泡游戏320480/网游/gwy/jjfb.mrp,mailmodule.ext,27692,faad4e9f796c26658e8d7a3a97b5f38f3161b202e264499bb4dec3bb9cb1b640,True,351,2,
冒泡游戏320480/网游/gwy/jjfb.mrp,moduletest.ext,15152,120fdea40196e29b9cbfb355ba460ac568c3d26e3f008da6ad7b838975bc7e92,True,149,1,
冒泡游戏320480/网游/gwy/jjfb.mrp,chatmodule.ext,15228,b1f7f8bc1846f164e7b7273931806118505086e20aedb29aab18714cbe455401,True,189,1,
冒泡游戏320480/网游/gwy/jjfb.mrp,gezimodule.ext,7356,59d39d323fe634f0aeb65076672fe501a557c473a86f02f3ad7aa69f2525d490,True,113,0,
冒泡游戏320480/网游/gwy/jjfb.mrp,taobaomodule.ext,16504,175a7268ae625ed9473b980ff59369159e6f1147fbb21df19fba4ac41c0a705b,True,184,0,
冒泡游戏320480/网游/gwy/jjfb.mrp,gameattackmodule.ext,47368,6f3afe7462a83168142f205a83da9fb22057c930c10feef8a652953d29f43b18,True,491,6,
冒泡游戏320480/网游/gwy/jjfb.mrp,monsterstatemodule.ext,18712,39e73ba119de641eee0ea2b738b26ef297d784ecad4137ceba9784403901e5fb,True,237,0,
冒泡游戏320480/网游/gwy/jjfb.mrp,itembagshopmodule.ext,43420,de9a51caaf5fa084fae2bbf45579c3a3cbcdf5fad3f0032b59fa8fec8dd06887,True,402,2,
冒泡游戏320480/网游/gwy/jjfb.mrp,viewmanmodule.ext,19436,9cc25245d323d87f3f9de9a3a091e3eb127ea940030ce7c1e72a8e91bed6897c,True,223,1,
冒泡游戏320480/网游/gwy/jjfb.mrp,betmodule.ext,14512,2bd3cee91fb99173522b6c83f33cdd1b885fb349874bfa0f8a4ce7b3e2bcb60e,True,201,0,
冒泡游戏320480/网游/gwy/jjfb.mrp,monstermodule.ext,19256,071e0a52f716500cac606c35d673c9fb6caead2e535f2cf2feb5aeb0415891ab,True,188,0,
冒泡游戏320480/网游/gwy/jjfb.mrp,leitaimodule.ext,21248,b0a9ac472cc958acf06ecb6a55a6a6dc59942d2943a45d5918ee1e6f1c9c2885,True,258,0,
冒泡游戏320480/网游/gwy/jjfb.mrp,reg.ext,2472,6aa5e6be29634f0ecddd27a142ff9a55f922a9e51f06b0ef2bf029995c02fb9d,True,33,19,robotol.ext
冒泡游戏320480/网游/gwy/jjfb.mrp,lianmengmodule.ext,36216,3129f23b7b1038ab09a8017805ec662fbab9ae05fa65bcc0ccb8e2efa6ead93b,True,454,0,robotol.ext
冒泡游戏320480/网游/gwy/jjfb.mrp,othermodule.ext,46708,060159526b5a84d11e7eaa9cb2b9c030d40319dd0b812bd0edacc0e280f15d70,True,515,0,robotol.ext
冒泡游戏320480/网游/gwy/jjfb.mrp,robotol.ext,253420,55f66f1cca810ae7febe31af7e2dba8d00e6296a31aa7613f4aaf9ce5bb2fe82,True,4271,83,robotol.ext
冒泡游戏320480/网游/gwy/jjfb.mrp,shopmodule.ext,14836,96736090d5f8b987df218dfbfe0e8f00f35c13f440b281ad3f468fb979409b9c,True,174,0,robotol.ext
冒泡游戏320480/网游/gwy/jjfb.mrp,itemhechengmodule.ext,25136,fa4ffb041f016c82ac21745ea35e1e00bb93a218e0ca625f85b2b5c7e9504a06,True,276,0,robotol.ext
冒泡游戏320480/网游/gwy/pmsg.mrp,reg.ext,776,ac7e7d9a9140aea5206c2221874713ab29e35a384301e79fb255dc145951c3f9,True,8,1,pmsg.ext
冒泡游戏320480/网游/gwy/pmsg.mrp,pmsg.ext,17848,3e20c687a796942d5e0f5b83ee543b87768052a4d03e13a9caca0fe88aa6a783,True,267,6,pmsg.ext
