seq,pc,off,addr,size,old,new,lr,sp,phase,kind,note,stack0,stack1,stack2,stack3
919,0x92CE0,0x12CE0,0x28065C,4,0x8353,0x8354,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
920,0x92CE0,0x12CE0,0x28065C,4,0x8354,0x8355,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
921,0x92CE0,0x12CE0,0x28065C,4,0x8355,0x8356,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
922,0x92D68,0x12D68,0x28065C,4,0x8356,0x8357,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
923,0x92CE0,0x12CE0,0x28065C,4,0x8357,0x8358,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
924,0x92CE0,0x12CE0,0x28065C,4,0x8358,0x8359,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
925,0x92CE0,0x12CE0,0x28065C,4,0x8359,0x835A,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
926,0x92CE0,0x12CE0,0x28065C,4,0x835A,0x835B,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
927,0x92F54,0x12F54,0x28065C,4,0x835B,0x835C,0x3,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
928,0x92CE0,0x12CE0,0x28065C,4,0x835C,0x835D,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
929,0x92CE0,0x12CE0,0x28065C,4,0x835D,0x835E,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
930,0x92F54,0x12F54,0x28065C,4,0x835E,0x835F,0x5,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
931,0x92F54,0x12F54,0x28065C,4,0x835F,0x8360,0x2CD,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
932,0x92CE0,0x12CE0,0x28065C,4,0x8360,0x8361,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
933,0x92F54,0x12F54,0x28065C,4,0x8361,0x8362,0x5,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
934,0x92CE0,0x12CE0,0x28065C,4,0x8362,0x8363,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
935,0x92CE0,0x12CE0,0x28065C,4,0x8363,0x8364,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
936,0x92CE0,0x12CE0,0x28065C,4,0x8364,0x8365,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
937,0x92F54,0x12F54,0x28065C,4,0x8365,0x8366,0x9,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
938,0x92F54,0x12F54,0x28065C,4,0x8366,0x8367,0xC49,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
939,0x92CE0,0x12CE0,0x28065C,4,0x8367,0x8368,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
940,0x92CE0,0x12CE0,0x28065C,4,0x8368,0x8369,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
941,0x92CE0,0x12CE0,0x28065C,4,0x8369,0x836A,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
942,0x92CE0,0x12CE0,0x28065C,4,0x836A,0x836B,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
943,0x92CE0,0x12CE0,0x28065C,4,0x836B,0x836C,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
944,0x92F54,0x12F54,0x28065C,4,0x836C,0x836D,0x7,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
945,0x92CE0,0x12CE0,0x28065C,4,0x836D,0x836E,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
946,0x92CE0,0x12CE0,0x28065C,4,0x836E,0x836F,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
947,0x92CE0,0x12CE0,0x28065C,4,0x836F,0x8370,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
948,0x92D68,0x12D68,0x28065C,4,0x8370,0x8371,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
949,0x92CE0,0x12CE0,0x28065C,4,0x8371,0x8372,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
950,0x92CE0,0x12CE0,0x28065C,4,0x8372,0x8373,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
951,0x92CE0,0x12CE0,0x28065C,4,0x8373,0x8374,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
952,0x92E6C,0x12E6C,0x28065C,4,0x8374,0x8375,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
953,0x92F54,0x12F54,0x28065C,4,0x8375,0x8376,0xD3,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
954,0x92CE0,0x12CE0,0x28065C,4,0x8376,0x8377,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
955,0x92E6C,0x12E6C,0x28065C,4,0x8377,0x8378,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
956,0x92F54,0x12F54,0x28065C,4,0x8378,0x8379,0x99,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
957,0x92CE0,0x12CE0,0x28065C,4,0x8379,0x837A,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
958,0x92F54,0x12F54,0x28065C,4,0x837A,0x837B,0x1,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
959,0x92CE0,0x12CE0,0x28065C,4,0x837B,0x837C,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
960,0x92D68,0x12D68,0x28065C,4,0x837C,0x837D,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
961,0x92CE0,0x12CE0,0x28065C,4,0x837D,0x837E,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
962,0x92F54,0x12F54,0x28065C,4,0x837E,0x837F,0x1B,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
963,0x92CE0,0x12CE0,0x28065C,4,0x837F,0x8380,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
964,0x92F54,0x12F54,0x28065C,4,0x8380,0x8381,0x1,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
965,0x92F54,0x12F54,0x28065C,4,0x8381,0x8382,0x5F,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
966,0x92CE0,0x12CE0,0x28065C,4,0x8382,0x8383,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
967,0x92CE0,0x12CE0,0x28065C,4,0x8383,0x8384,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
968,0x92F54,0x12F54,0x28065C,4,0x8384,0x8385,0xD,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
969,0x92CE0,0x12CE0,0x28065C,4,0x8385,0x8386,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
970,0x92CE0,0x12CE0,0x28065C,4,0x8386,0x8387,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
971,0x92CE0,0x12CE0,0x28065C,4,0x8387,0x8388,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
972,0x92F54,0x12F54,0x28065C,4,0x8388,0x8389,0x1,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
973,0x92F54,0x12F54,0x28065C,4,0x8389,0x838A,0xED,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
974,0x92CE0,0x12CE0,0x28065C,4,0x838A,0x838B,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
975,0x92F54,0x12F54,0x28065C,4,0x838B,0x838C,0x3F,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
976,0x92CE0,0x12CE0,0x28065C,4,0x838C,0x838D,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
977,0x92CE0,0x12CE0,0x28065C,4,0x838D,0x838E,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
978,0x92F54,0x12F54,0x28065C,4,0x838E,0x838F,0x9,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
979,0x92CE0,0x12CE0,0x28065C,4,0x838F,0x8390,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
980,0x92E6C,0x12E6C,0x28065C,4,0x8390,0x8391,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
981,0x92CE0,0x12CE0,0x28065C,4,0x8391,0x8392,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
