seq,phase,object,f08,f0c,f14,f30,buf_base,cursor,end,capacity_guess,record_count_guess,trigger_pc,note
38,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
39,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
40,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
41,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
42,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
43,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
44,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
45,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
46,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
47,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
48,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
