run_id,seq,stage,pc,15C,15D,B71,134D,C76,UI_MODE
h2_B_20260725_011531,1,before_2E4040_via_2E2520,0x2E2520,1,0,0,0,0,0x0
h2_B_20260725_011531,2,handler_enter,0x2E4040,1,0,0,0,0,0x0
h2_B_20260725_011531,75,before_2E4040_via_2E2520,0x2E2520,1,0,0,0,0,0x0
h2_B_20260725_011531,76,handler_return,0x2E4040,1,0,0,0,0,0x0
