seq,pc,module,offset,insn,desc,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,sp,lr,cpsr,note,mem
20,0x974DC,cfunction.ext,0x174DC,0x0A000016,"Bcond 0x9753C",0x0,0x0,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
21,0x9753C,cfunction.ext,0x1753C,0xE5941014,"w=0xE5941014",0x0,0x0,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","R:0x2A8278/4"
22,0x97540,cfunction.ext,0x17540,0xE594000C,"STR r0,[...]",0x0,0x2A84E4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","R:0x2A8270/4"
23,0x97544,cfunction.ext,0x17544,0xE2411018,"w=0xE2411018",0x2AC9EC,0x2A84E4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
24,0x97548,cfunction.ext,0x17548,0xE5841014,"w=0xE5841014",0x2AC9EC,0x2A84CC,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","W:0x2A8278/4"
25,0x9754C,cfunction.ext,0x1754C,0xE5911000,"w=0xE5911000",0x2AC9EC,0x2A84CC,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","R:0x2A84CC/4"
26,0x97550,cfunction.ext,0x17550,0xE2400008,"w=0xE2400008",0x2AC9EC,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
27,0x97554,cfunction.ext,0x17554,0xE584100C,"w=0xE584100C",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","W:0x2A8270/4"
28,0x97558,cfunction.ext,0x17558,0xEA000008,"Bcond 0x97580",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
29,0x97580,cfunction.ext,0x17580,0xE3550000,"CMP r5,#0x0",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
30,0x97584,cfunction.ext,0x17584,0x15941008,"w=0x15941008",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
31,0x97588,cfunction.ext,0x17588,0x11510002,"w=0x11510002",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
32,0x9758C,cfunction.ext,0x1758C,0x8AFFFFF2,"Bcond 0x9755C",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
