archive,member,decoded_length,sha256,magic8_ascii,is_mrpgcmap,entry_candidate_offset,string_count,has_cfunction,has_strcom,has_mrc_init
gwy/jjfb.mrp,lianmengmodule.ext,36216,3129f23b7b1038ab09a8017805ec662fbab9ae05fa65bcc0ccb8e2efa6ead93b,MRPGCMAP,1,8,454,0,0,0
gwy/jjfb.mrp,othermodule.ext,46708,060159526b5a84d11e7eaa9cb2b9c030d40319dd0b812bd0edacc0e280f15d70,MRPGCMAP,1,8,515,0,0,0
gwy/jjfb.mrp,robotol.ext,253420,55f66f1cca810ae7febe31af7e2dba8d00e6296a31aa7613f4aaf9ce5bb2fe82,MRPGCMAP,1,8,4271,0,0,0
gwy/jjfb.mrp,shopmodule.ext,14836,96736090d5f8b987df218dfbfe0e8f00f35c13f440b281ad3f468fb979409b9c,MRPGCMAP,1,8,174,0,0,0
gwy/jjfb.mrp,itemhechengmodule.ext,25136,fa4ffb041f016c82ac21745ea35e1e00bb93a218e0ca625f85b2b5c7e9504a06,MRPGCMAP,1,8,276,0,0,0
gwy/pmsg.mrp,pmsg.ext,17848,3e20c687a796942d5e0f5b83ee543b87768052a4d03e13a9caca0fe88aa6a783,MRPGCMAP,1,8,267,0,0,0
gwy/reglogin.mrp,reglogin.ext,36528,013e8628c22f604ecae54c455f26f74042d61824f09f289494c28d07f01476de,MRPGCMAP,1,8,560,0,0,0
gwy/resmng.mrp,resmng.ext,12200,19468df6a86660afd2585ce570d140a0ca11531031201acaa4841f397d3df8e3,MRPGCMAP,1,8,170,0,0,0
gwy/rollscr.mrp,roll.ext,30212,50ff001de3f0058e55543e6703d87160bc7cf5a6732e68ead5bf239697f919fd,MRPGCMAP,1,8,391,0,0,0
gwy/roomlist.mrp,roomlist.ext,17284,e039e91912b01712f4757b5f26bb5abb0b6ed3f9409e520ce0f5bab42b39e5f3,MRPGCMAP,1,8,239,0,0,0
gwy/sanguo.mrp,sanguo.ext,159836,9a2343672a4368d09fa6575955298c440c654a801d944afeb8aaab4955d0c011,MRPGCMAP,1,8,2395,0,0,0
gwy/sgmj.mrp,sgmj.ext,258472,016b3d96faa22136c881573b1340d93d05797d060353219055f66bad05b5e5a0,MRPGCMAP,1,8,2390,0,0,0
gwy/smd.mrp,smd.ext,346396,58f2f829eddb59795af7e1e8acc300d38442d31f3f8edd5fe0b54bf2a5c4e0f1,MRPGCMAP,1,8,5190,0,0,0
gwy/smsbase.mrp,smsbase.ext,9568,08df5a82fd54e9e6c70dcdc13178d1fa827ea0f68002c7a67c91e959d671f78b,MRPGCMAP,1,8,135,0,0,0
gwy/smscharge.mrp,smscharge.ext,39748,d8aae05e690222f94c4ba48045c1b58b27c6a009cc232a91da7b76d435af7c69,MRPGCMAP,1,8,770,0,0,0
gwy/spacetime.mrp,spacetime.ext,242232,c7d324cc8f1f09f8bd93494f879fff15f151a0d54df2af8ca1320d77efc31f71,MRPGCMAP,1,8,2449,0,0,0
gwy/ssjx.mrp,gameonline.ext,204904,e08f93bebe133b700f2305bfbedd994b05cc8d04a5a854262af9ced956afbc03,MRPGCMAP,1,8,2586,0,0,0
gwy/svrctrl.mrp,svrctrl.ext,14812,b572fea6124a04a0ec763db0cf2d771ae53d5b80db53ae9608988ba102610c75,MRPGCMAP,1,8,164,0,0,0
gwy/tlbb.mrp,dream.ext,277248,a743ecafdf48c83fdc0265fbf2e7b7b9c9d5f1bd2789fee59216d67da8ece60c,MRPGCMAP,1,8,3974,0,0,0
gwy/tyol.mrp,tyol.ext,221952,bf5a39925f03a6ed4dae4715c506291aa151a9cb90eab31ffddb0b08af0d1896,MRPGCMAP,1,8,2933,0,0,0
gwy/vdload.mrp,vdload.ext,13228,125fa7830d0d78d39e803258e7dce06a1537b3eb6f55fe4c420262f9231ca7ef,MRPGCMAP,1,8,232,0,0,0
gwy/wapgame.mrp,wapgame.ext,7256,7434e8f92ec3fc9d807b4a716cd0d668e1a19caae08894da811c59fa81f186da,MRPGCMAP,1,8,96,0,0,0
gwy/wm2.mrp,wm1_help.ext,34660,22a325d56f3e606ac3ce98e636695d690f25770699cec622ba8f3eb1e25dfec0,MRPGCMAP,1,8,447,0,0,0
gwy/wm2pet.mrp,wmpk.ext,51548,d2383cc68644f6453e33c55688cd3c71cf7bcbcec0d6c065569074d890cb3355,MRPGCMAP,1,8,848,0,0,0
gwy/wxjwq.mrp,mrc_loader.ext,232,d36151ee3c119717305afe4b1f0ba47f0f0154f8ba6f2c5081d6402c8eddd938,MRPGCMAP,1,8,2,1,0,0
gwy/wxjwq.mrp,mmochat.ext,320292,b7cf57219e8eedaba3c71129df2ed4b03b9918d9038d977191fa14f78199f0fd,MRPGCMAP,1,8,4606,0,0,0
gwy/xaqd.mrp,wm1.ext,241744,20ef24bd8975f5d420b81884a2b10e7e6a16ecbf6cff02a4450408c17d14c8a3,MRPGCMAP,1,8,3062,0,0,0
gwy/xjwq/res/mrp/mmochat_res1.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,MRPGCMAP,1,8,46,0,0,0
gwy/xjwq/res/mrp/mmochat_res2.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,MRPGCMAP,1,8,46,0,0,0
gwy/xjwq/res/mrp/mmochat_res3.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,MRPGCMAP,1,8,46,0,0,0
gwy/xjwq/res/mrp/mmochat_res4.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,MRPGCMAP,1,8,46,0,0,0
gwy/xjwq/res/mrp/mmochat_res5.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,MRPGCMAP,1,8,46,0,0,0
gwy/xjwq/res/mrp/mmochat_res6.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,MRPGCMAP,1,8,46,0,0,0
gwy/xyol.mrp,xiyou.ext,159976,b85e8c1ace495cfd98586647ffa91b3e8fa6e546d764a3864c3a3c0e5a693a8e,MRPGCMAP,1,8,2016,0,0,0
gwy/yxlm.mrp,xqj.ext,271848,e3bc808b3720f11173e506ca804df67a309cf2a8c5c202fee8c18315acd45bb1,MRPGCMAP,1,8,3513,0,0,0
gwy/zsol.mrp,dream.ext,235300,2789a8499b7bd41ea525444bdb0bc1e7d32ac4c6a49b512a3a4240db41f4c529,MRPGCMAP,1,8,3226,0,0,0
gwy.mrp,mrc_loader.ext,232,d36151ee3c119717305afe4b1f0ba47f0f0154f8ba6f2c5081d6402c8eddd938,MRPGCMAP,1,8,2,1,0,0
gwy.mrp,graphics.ext,14292,5989093a3615e6007a7222e31919390b937e3597d33feffe28137f6fc2035cd0,MRPGCMAP,1,8,161,0,0,0
gwy.mrp,cfunction.ext,49620,e9a84d95568546ef41464e7d5ee94de652cd77241ccd560e20955c0e13832e9e,MRPGCMAP,1,8,740,1,0,0
gwyaz.mrp,cfunction.ext,9584,b591cfe53704bee3037f8b0b7247f140424e752c79a45e307c15a59e4c8c01bb,MRPGCMAP,1,8,151,1,0,0
hxsg.mrp,cfunction.ext,10564,0560c1f2b24da81f48b34b8de34ae595b757c3bdcc53a56e41e435e4545e4e1c,MRPGCMAP,1,8,166,1,0,0
mpqp.mrp,cfunction.ext,10564,939357f4c84edd1bbdf4b810ae10aeadb2471d55557f73880cc2ed79251f03d0,MRPGCMAP,1,8,166,1,0,0
