# run_id=p22i_20260802_015213_43782 commit=8ebc5a63ea82cf61d21a1e3bba0f2bc7ab7fdd1d main=6eddb0682619ba7c28859e09f225935109b9c26e371a5e9dc1b98ed846ad9df7 raw_ext=70abc063dae99c95e7d9d7a44db5117c9512a430078c2672ecae9e28c3616414 gl_base=0x0 cf_base=0x0 helper=0x0 gl_erw=0x0 cf_erw=0x0 P=? gen=?
sequence,call_id,method,R9_actual,R9_owner,expected_child_R9,gamelist_ERW,cfunction_ERW,r9_depth,generation,P,contract
7,1,6,0x280400,cfunction_erw_band,0x0,0x0,0x280400,2,0,0x2AC8EC,PARENT_R9_EXPECTED
12,2,0,0x280400,cfunction.ext_ERW,0x0,0x0,0x280400,2,0,0x2AC8EC,PARENT_R9_EXPECTED
17,3,1,0x280400,cfunction.ext_ERW,0x0,0x0,0x280400,2,0,0x2AC8EC,PARENT_R9_EXPECTED
23,4,2,0x682B8C,UNKNOWN_NOT_EXPOSED,0x0,0x0,0x280400,2,0,0x2AC8EC,UNKNOWN
26,5,2,0x682B8C,UNKNOWN_NOT_EXPOSED,0x0,0x0,0x280400,2,0,0x2AC8EC,UNKNOWN
