seq,method,stack_decoded_pc,next_executed_pc,match,next_module,next_module_offset,r0,sp,lr,cpsr,r9
1,6,0xABD44,0x86E5C,0,cfunction.ext,0x6E5C,0x2,0x27F968,0x89C30,0x600001D3,0x280400
2,0,0xABD44,0x86E5C,0,cfunction.ext,0x6E5C,0x2,0x27F968,0x89C30,0x600001D3,0x280400
3,1,0xABD44,0x86E5C,0,cfunction.ext,0x6E5C,0x2,0x27F968,0x89C30,0x600001D3,0x280400
