# run_id=p22m_20260802_034319_3008 commit=3bc788dd6b0b13a5614e6301edb98cdada4498d9 main=39120042b0af53ea9fc45067d9d3de15bf79ac5fd24f9485f17550dc1b84a5a8 raw_ext=70abc063dae99c95e7d9d7a44db5117c9512a430078c2672ecae9e28c3616414 gl_base=0x0 cf_base=0x0 helper=0x0 gl_erw=0x0 cf_erw=0x0 P=? gen=?
sequence,event,pc,offset,R0,R1,R9,detail
1,mr_event,0x0,0x0,0xFFFFFF9C,0x280254,0x0,"event=-100 p0=2622036 p1=0"
2,mr_event,0x0,0x0,0xFFFFFF9D,0x2829D4,0x0,"event=-99 p0=2632148 p1=0"
3,gamelist_started,0x0,0x0,0x0,0x0,0x0,"shell"
4,mr_event,0x0,0x0,0xFFFFFF9D,0x682AB4,0x0,"event=-99 p0=6826676 p1=0"
5,c_function_new,0x0,0x0,0x2E3099,0x0,0x0,"LOG_PARSE"
20,method1_return,0x89BF0,0x9BF0,0x0,0x1,0x682B8C,"start_post_init_watch"
30,FIRE_EXT,0x0,0x0,0x2E3099,0x2,0x682B8C,"code=2"
