seq,pc,off,addr,size,old,new,lr,sp,phase,kind,note,stack0,stack1,stack2,stack3
1,0x927A8,0x127A8,0x2AF904,4,0x0,0x400,0x2AF900,0x27F370,post_cf_map,seed_touch,"mod=cfunction.ext",0x0,0x200,0x0,0x0
2,0x927A8,0x127A8,0x2AF8F8,4,0x0,0x810,0x2AF8F4,0x27F370,post_cf_map,seed_touch,"mod=cfunction.ext",0x0,0x200,0x0,0x0
3,0x92CE0,0x12CE0,0x28065C,4,0x801A,0x801B,0x92FE4,0x27F718,post_cf_map,exact_opcode_word,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
4,0x927A8,0x127A8,0x2AF904,4,0x801B,0x400,0x2AF900,0x27EEB8,post_cf_map,seed_touch,"mod=cfunction.ext",0x0,0x200,0x0,0x0
5,0x927A8,0x127A8,0x2AF8F8,4,0x800054,0x810,0x2AF8F4,0x27EEB8,post_cf_map,seed_touch,"mod=cfunction.ext",0x0,0x200,0x0,0x0
6,0x92CE0,0x12CE0,0x28065C,4,0x801A,0x801B,0xD0158,0x27F260,post_cf_map,exact_opcode_word,"mod=cfunction.ext",0x3F,0x1FF,0x2D4360,0x2D5D00
7,0x9D1E4,0x1D1E4,0x2A826C,4,0x2ACA1C,0x2AC9D4,0x9D0E0,0x27F9A0,during_opcode,object_field,"mod=cfunction.ext",0x3D,0x2A8264,0x2AC904,0x2AF908
8,0x97548,0x17548,0x2A8278,4,0x2A84CC,0x2A84B4,0x972CC,0x27F9C0,post_1B,object_field,"mod=cfunction.ext",0x2A8264,0x2A839C,0xFFFFFFFF,0x972CC
9,0x97554,0x17554,0x2A8270,4,0x2AC9D4,0x2AC984,0x972CC,0x27F9C0,post_1B,object_field,"mod=cfunction.ext",0x2A8264,0x2A839C,0xFFFFFFFF,0x972CC
10,0x975B4,0x175B4,0x2A826C,4,0x2AC9D4,0x2AC9CC,0x972CC,0x27F9C0,post_1B,object_field,"mod=cfunction.ext",0x2A8264,0x2A839C,0xFFFFFFFF,0x972CC
11,0x972D4,0x172D4,0x2A8292,2,0x10008,0x0,0x972CC,0x27F9D0,post_1B,object_field,"mod=cfunction.ext",0x2A8264,0x910D4,0x27FAA0,0x97A54
