run_id,block_start,block_end,hit_count,first_step,last_step,helper_call_id
t16_B8_20260727_203813,0x2F68E4,0x2F6900,15,0,57,1
t16_B8_20260727_203813,0x2F6952,0x2F6952,1,58,58,1
