
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
LenovoUtilityService.exe      6216 Services                   0     11,564 K
LISFService.exe               6228 Services                   0     17,224 K
svchost.exe                   6236 Services                   0     14,836 K
MuMuRemoteService.exe         6268 Services                   0      9,156 K
svchost.exe                   6276 Services                   0      6,940 K
GameViewerService.exe         6284 Services                   0      9,108 K
LNBITSSvc.exe                 6292 Services                   0     17,440 K
RtkAudUService64.exe          6300 Services                   0     11,132 K
svchost.exe                   6312 Services                   0      8,832 K
FMService64.exe               6320 Services                   0      7,900 K
TCPSVCS.EXE                   6352 Services                   0      4,680 K
svchost.exe                   6364 Services                   0      6,036 K
MpDefenderCoreService.exe     6396 Services                   0     20,300 K
wslservice.exe                6404 Services                   0     21,840 K
svchost.exe                   6416 Services                   0     52,832 K
MsMpEng.exe                   6460 Services                   0     85,504 K
QcomWlanSrvx64.exe            6476 Services                   0      6,196 K
svchost.exe                   6484 Services                   0     24,004 K
svchost.exe                   6496 Services                   0     15,520 K
svchost.exe                   6552 Services                   0      9,784 K
MSPCManagerService.exe        6584 Services                   0    127,048 K
crashpad_handler.exe          7068 Services                   0        460 K
crashpad_handler.exe          6844 Services                   0        548 K
WmiPrvSE.exe                  7288 Services                   0     15,668 K
svchost.exe                   7336 Services                   0     13,000 K
Locator.exe                   7448 Services                   0      3,156 K
MuMuRemoteBackend.exe         7548 Console                    1     37,996 K
WmiApSrv.exe                  7612 Services                   0      8,268 K
GameViewerServer.exe          7664 Console                    1     91,988 K
svchost.exe                   7676 Services                   0      5,960 K
MumuRemoteHealthd.exe         7760 Console                    1     23,388 K
SearchIndexer.exe             7792 Services                   0     73,100 K
GameViewerHealthd.exe         7800 Console                    1     13,480 K
svchost.exe                   8032 Services                   0     20,744 K
WmiPrvSE.exe                  8068 Services                   0     33,644 K
ChsIME.exe                    8280 Console                    1      7,788 K
crashpad_handler.exe          8296 Console                    1        476 K
crashpad_handler.exe          8400 Console                    1        584 K
LnvSvcFdn.exe                 8576 Services                   0     10,784 K
DAX3API.exe                   8700 Console                    1     10,428 K
TabTip.exe                    9028 Console                    1     17,748 K
AutoModeDetect.exe            8172 Console                    1     10,832 K
conhost.exe                   5460 Console                    1      7,816 K
crashpad_handler.exe          5832 Console                    1        588 K
crashpad_handler.exe          5704 Console                    1        464 K
sihost.exe                    9500 Console                    1     34,604 K
svchost.exe                   9552 Console                    1     29,536 K
svchost.exe                   9560 Console                    1      8,496 K
svchost.exe                   9620 Console                    1     40,728 K
svchost.exe                   9776 Services                   0     17,776 K
AUEPMaster.exe                9800 Console                    1      6,572 K
taskhostw.exe                 9844 Console                    1     19,228 K
ARPProtection.exe             9936 Console                    1      3,192 K
PopBlock.exe                  9996 Console                    1     11,088 K
svchost.exe                   9264 Services                   0     22,604 K
svchost.exe                  10056 Services                   0     15,404 K
Memory Compression           10176 Services                   0    970,152 K
Lenovo.Modern.ImControlle    10452 Services                   0     46,240 K
explorer.exe                 10528 Console                    1    285,796 K
taskhostw.exe                10704 Console                    1     23,860 K
svchost.exe                  10752 Services                   0      5,804 K
svchost.exe                  10880 Services                   0     10,940 K
AggregatorHost.exe           10892 Services                   0      9,996 K
svchost.exe                  11196 Services                   0      9,064 K
LenovoTray.exe               11244 Console                    1      7,048 K
dllhost.exe                  11500 Services                   0     13,268 K
LenovoInternetSoftwareFra    11716 Console                    1     18,804 K
unsecapp.exe                 11760 Services                   0     10,872 K
crashpad_handler.exe         11944 Console                    1        564 K
