
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
sihost.exe                    9500 Console                    1     33,140 K
svchost.exe                   9552 Console                    1     29,404 K
svchost.exe                   9560 Console                    1      8,544 K
svchost.exe                   9620 Console                    1     39,324 K
svchost.exe                   9776 Services                   0     17,336 K
AUEPMaster.exe                9800 Console                    1      6,544 K
taskhostw.exe                 9844 Console                    1     19,724 K
ARPProtection.exe             9936 Console                    1      3,280 K
PopBlock.exe                  9996 Console                    1     11,252 K
svchost.exe                   9264 Services                   0     22,692 K
svchost.exe                  10056 Services                   0     15,208 K
Memory Compression           10176 Services                   0    864,008 K
Lenovo.Modern.ImControlle    10452 Services                   0     45,464 K
explorer.exe                 10528 Console                    1    294,940 K
taskhostw.exe                10704 Console                    1     23,932 K
svchost.exe                  10752 Services                   0      5,828 K
svchost.exe                  10880 Services                   0     11,056 K
AggregatorHost.exe           10892 Services                   0      9,876 K
svchost.exe                  11196 Services                   0      9,020 K
LenovoTray.exe               11244 Console                    1     10,836 K
dllhost.exe                  11500 Services                   0     13,400 K
LenovoInternetSoftwareFra    11716 Console                    1     20,700 K
unsecapp.exe                 11760 Services                   0     10,792 K
crashpad_handler.exe         11944 Console                    1        700 K
Lsf.exe                      12184 Console                    1     15,300 K
ResScheduler.exe             13068 Console                    1     24,252 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,896 K
svchost.exe                  13088 Services                   0     13,060 K
FnHotkeyUtility.exe           5752 Console                    1     21,688 K
wsctrl10.exe                 13472 Services                   0      8,908 K
unsecapp.exe                 13824 Console                    1     10,136 K
svchost.exe                  14120 Console                    1     27,236 K
StartMenuExperienceHost.e    14264 Console                    1     74,772 K
SogouCloud.exe               14252 Console                    1     31,432 K
RuntimeBroker.exe            14352 Console                    1     32,100 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,056 K
SearchApp.exe                15280 Console                    1    212,272 K
RuntimeBroker.exe            13292 Console                    1     42,240 K
SGTool.exe                   12340 Console                    1     65,920 K
RuntimeBroker.exe            16652 Console                    1     27,408 K
TextInputHost.exe            16808 Console                    1     47,428 K
svchost.exe                  16744 Services                   0     12,864 K
RadeonSoftware.exe            5328 Console                    1     40,028 K
svchost.exe                  16880 Services                   0     14,932 K
CPUMetricsServer.exe          8312 Console                    1      4,720 K
RtkAudUService64.exe         17728 Console                    1     12,612 K
CCleanerPerformanceOptimi     5320 Services                   0     28,892 K
CCleaner64.exe               18344 Console                    1     59,160 K
GameViewer.exe                7504 Console                    1     73,436 K
crashpad_handler.exe          7096 Console                    1        692 K
CCXProcess.exe               17920 Console                    1      4,608 K
node.exe                     17700 Console                    1     45,472 K
conhost.exe                  17836 Console                    1      7,156 K
msedgewebview2.exe           19320 Console                    1    127,944 K
msedgewebview2.exe           19436 Console                    1     13,396 K
AdobeIPCBroker.exe           18232 Console                    1     11,400 K
Feishu.exe                   12480 Console                    1    155,760 K
msedgewebview2.exe           19528 Console                    1     59,728 K
msedgewebview2.exe           19536 Console                    1     37,240 K
Feishu.exe                   19580 Console                    1     20,640 K
msedgewebview2.exe           19716 Console                    1     20,984 K
msedgewebview2.exe           20120 Console                    1     45,352 K
Feishu.exe                   20812 Console                    1     14,768 K
Feishu.exe                   20884 Console                    1     38,228 K
svchost.exe                  20896 Services                   0      8,084 K
Feishu.exe                   20960 Console                    1     63,896 K
Feishu.exe                   21224 Console                    1     70,004 K
msedgewebview2.exe           13416 Console                    1     44,680 K
Feishu.exe                   21052 Console                    1     43,188 K
Feishu.exe                   18868 Console                    1     17,024 K
MuMuNxService.exe            20820 Console                    1     46,912 K
crashpad_handler.exe         21564 Console                    1        628 K
cncmd.exe                    22036 Console                    1      1,428 K
cmd.exe                      20692 Console                    1      2,888 K
conhost.exe                   9640 Console                    1      1,952 K
AMDRSServ.exe                19392 Console                    1     88,100 K
SOGOUSmartAssistant.exe      22964 Console                    1     22,436 K
SOGOUSmartAssistant.exe      21744 Console                    1     58,888 K
node.exe                     22300 Console                    1     42,164 K
conhost.exe                  18340 Console                    1      8,920 K
node.exe                     21912 Console                    1     63,092 K
conhost.exe                  16636 Console                    1      7,108 K
nano.exe                     18716 Console                    1     61,280 K
DesktopService64.exe          3888 Services                   0     14,744 K
DesktopMgr64.exe             11008 Console                    1     23,552 K
svchost.exe                  22200 Services                   0      7,332 K
DesktopAITaskCenter.exe       2376 Console                    1     21,276 K
QQPCExternal.exe              6504 Console                    1     72,160 K
QQPCExternal.exe              2820 Console                    1     23,756 K
QQPCExternal.exe              6632 Console                    1     28,924 K
QQPCExternal.exe              1304 Console                    1     27,228 K
AUEPDU.exe                   19144 Services                   0     12,436 K
svchost.exe                  21276 Services                   0     14,784 K
svchost.exe                  13108 Console                    1     24,528 K
svchost.exe                   1552 Services                   0     18,384 K
SecurityHealthService.exe    13220 Services                   0     13,736 K
AMDRSSrcExt.exe               8608 Console                    1     28,364 K
Doubao.exe                   20996 Console                    1    114,036 K
Doubao.exe                   17400 Console                    1     10,720 K
Doubao.exe                   22112 Console                    1     54,464 K
Doubao.exe                   17108 Console                    1     58,064 K
Doubao.exe                   14684 Console                    1     22,288 K
Doubao.exe                   13960 Console                    1     19,144 K
Doubao.exe                    2104 Console                    1     73,360 K
aha_doctor.exe               19280 Console                    1     30,432 K
Doubao.exe                   15264 Console                    1     22,700 K
Doubao.exe                    2956 Console                    1    143,488 K
CompPkgSrv.exe               14052 Console                    1      9,312 K
Doubao.exe                   15300 Console                    1     48,252 K
DynamicDependencyLifetime    11780 Console                    1      5,440 K
PushNotificationsLongRunn    16940 Console                    1     15,392 K
ApplicationFrameHost.exe     14768 Console                    1     59,516 K
HrAppStoreAppOM.exe          12284 Console                    1     33,112 K
taskhostw.exe                13348 Console                    1     29,868 K
EMDriverAssist.exe           13536 Console                    1     25,332 K
QQ.exe                       16344 Console                    1    149,740 K
crashpad_handler.exe         17168 Console                    1      2,088 K
QQ.exe                       16716 Console                    1     10,388 K
QQ.exe                       22256 Console                    1     35,108 K
QQ.exe                        2208 Console                    1    163,064 K
QQ.exe                        9292 Console                    1     21,284 K
QQ.exe                        1224 Console                    1     36,736 K
dllhost.exe                  10484 Console                    1      9,732 K
QQEX.exe                     12368 Console                    1     78,052 K
QQEX.exe                     14044 Console                    1     77,500 K
QQEX.exe                      5908 Console                    1     31,604 K
QQEX.exe                     18040 Console                    1     31,440 K
QQEX.exe                     22144 Console                    1     12,344 K
svchost.exe                   4964 Console                    1     10,360 K
ShellExperienceHost.exe      19760 Console                    1    109,016 K
RuntimeBroker.exe            11204 Console                    1     37,092 K
SystemSettingsBroker.exe     20152 Console                    1     34,380 K
wps.exe                       5268 Console                    1     38,440 K
promecefpluginhost.exe        5068 Console                    1     30,616 K
promecefpluginhost.exe        3536 Console                    1     22,800 K
wps.exe                      19688 Console                    1     59,268 K
clouddrive_desktop_widget    15732 Console                    1     20,328 K
chrome.exe                   17708 Console                    1     84,624 K
chrome.exe                   14220 Console                    1     10,524 K
chrome.exe                   21768 Console                    1     49,892 K
chrome.exe                   18136 Console                    1     48,616 K
chrome.exe                   14048 Console                    1     20,492 K
chrome.exe                   23824 Console                    1      5,172 K
chrome.exe                   22236 Console                    1     87,268 K
adb.exe                      22692 Console                    1     11,528 K
svchost.exe                  11520 Services                   0      7,784 K
Doubao.exe                   21592 Console                    1     69,800 K
chrome.exe                   10024 Console                    1     22,844 K
chrome.exe                   17884 Console                    1     31,972 K
AIAssistant-2102.exe         28808 Console                    1      7,264 K
AIAssistant-2102.exe         28588 Console                    1     16,224 K
Doubao.exe                   18148 Console                    1     29,792 K
HrASMain.exe                 29020 Console                    1     23,812 K
HrASMain.exe                 26180 Console                    1     16,804 K
HrASMain.exe                 30820 Console                    1      6,380 K
HrASMain.exe                 27716 Console                    1     10,660 K
HrASMain.exe                 29056 Console                    1     16,212 K
LockApp.exe                  28856 Console                    1     55,708 K
RuntimeBroker.exe            30292 Console                    1     38,464 K
LAVService.exe               28048 Services                   0     16,972 K
crashpad_handler.exe          5860 Services                   0        640 K
usysdiag.exe                 29092 Services                   0      1,436 K
unsecapp.exe                 24980 Console                    1      8,976 K
QQ.exe                       25356 Console                    1      7,816 K
chrome.exe                   31332 Console                    1     12,980 K
dllhost.exe                  27992 Console                    1     14,096 K
svchost.exe                  23148 Services                   0     23,928 K
svchost.exe                   5864 Services                   0      9,292 K
wpscloudsvr.exe              31036 Console                    1     58,260 K
wps.exe                       5632 Console                    1     37,752 K
promecefpluginhost.exe       28408 Console                    1     30,892 K
promecefpluginhost.exe       16860 Console                    1     22,708 K
MoUsoCoreWorker.exe           6260 Services                   0     32,804 K
svchost.exe                  13168 Services                   0     10,716 K
svchost.exe                  25212 Services                   0     20,680 K
MusNotifyIcon.exe            16540 Console                    1      1,008 K
node.exe                     27500 Console                    1    311,144 K
conhost.exe                   8764 Console                    1      1,916 K
chrome.exe                   26540 Console                    1     98,552 K
SystemSettings.exe           11928 Console                    1      3,188 K
UserOOBEBroker.exe           26712 Console                    1     10,076 K
msedge.exe                   26772 Console                    1     94,680 K
msedge.exe                   15936 Console                    1     14,404 K
msedge.exe                    3960 Console                    1     34,484 K
msedge.exe                   13392 Console                    1     43,548 K
msedge.exe                    7848 Console                    1     21,644 K
msedge.exe                   18928 Console                    1     29,828 K
msedge.exe                   25840 Console                    1     41,000 K
HipsMain.exe                  7296 Console                    1      4,380 K
HipsTray.exe                 27268 Console                    1      4,660 K
HipsDaemon.exe               26996 Services                   0     87,512 K
PhoneExperienceHost.exe      21712 Console                    1    126,896 K
chrome.exe                    2024 Console                    1    586,980 K
chrome.exe                   12760 Console                    1     26,112 K
svchost.exe                  17968 Services                   0      8,892 K
SearchProtocolHost.exe       27712 Services                   0     14,100 K
WinRAR.exe                   31620 Console                    1     50,876 K
QQ.exe                       27868 Console                    1     19,828 K
svchost.exe                  26284 Services                   0     34,264 K
audiodg.exe                  13864 Services                   0     15,032 K
powershell.exe               31732 Console                    1     85,588 K
conhost.exe                  21032 Console                    1     51,020 K
powershell.exe               24708 Console                    1     74,104 K
python.exe                    4740 Console                    1     17,736 K
main.exe                     27844 Console                    1     12,852 K
SearchFilterHost.exe         26784 Services                   0     11,468 K
RuntimeBroker.exe            16768 Console                    1     11,784 K
Doubao.exe                   24912 Console                    1     52,816 K
msedge.exe                   29360 Console                    1     50,300 K
cmd.exe                      19152 Console                    1      5,504 K
tasklist.exe                 14372 Console                    1     10,688 K
