
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
sihost.exe                    9500 Console                    1     32,160 K
svchost.exe                   9552 Console                    1     29,708 K
svchost.exe                   9560 Console                    1      8,496 K
svchost.exe                   9620 Console                    1     37,796 K
svchost.exe                   9776 Services                   0     21,536 K
AUEPMaster.exe                9800 Console                    1      6,468 K
taskhostw.exe                 9844 Console                    1     19,324 K
ARPProtection.exe             9936 Console                    1      3,352 K
ApowerREC.exe                 9976 Console                    1     28,308 K
PopBlock.exe                  9996 Console                    1     14,996 K
svchost.exe                   9264 Services                   0     22,648 K
svchost.exe                  10056 Services                   0     15,212 K
Memory Compression           10176 Services                   0    921,004 K
Lenovo.Modern.ImControlle    10452 Services                   0     45,384 K
explorer.exe                 10528 Console                    1    272,328 K
taskhostw.exe                10704 Console                    1     22,232 K
svchost.exe                  10752 Services                   0      5,804 K
svchost.exe                  10880 Services                   0     10,936 K
AggregatorHost.exe           10892 Services                   0      9,888 K
svchost.exe                  11196 Services                   0      8,964 K
LenovoTray.exe               11244 Console                    1     14,212 K
dllhost.exe                  11500 Services                   0     13,336 K
LenovoInternetSoftwareFra    11716 Console                    1     19,500 K
unsecapp.exe                 11760 Services                   0     11,424 K
crashpad_handler.exe         11944 Console                    1        564 K
Lsf.exe                      12184 Console                    1     15,188 K
ResScheduler.exe             13068 Console                    1     22,720 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,880 K
svchost.exe                  13088 Services                   0     12,868 K
FnHotkeyUtility.exe           5752 Console                    1     20,924 K
wsctrl10.exe                 13472 Services                   0      8,892 K
unsecapp.exe                 13824 Console                    1     10,124 K
svchost.exe                  14120 Console                    1     26,528 K
StartMenuExperienceHost.e    14264 Console                    1     67,236 K
SogouCloud.exe               14252 Console                    1     31,176 K
RuntimeBroker.exe            14352 Console                    1     31,776 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,020 K
SearchApp.exe                15280 Console                    1    192,308 K
RuntimeBroker.exe            13292 Console                    1     42,080 K
SGTool.exe                   12340 Console                    1     65,212 K
RuntimeBroker.exe            16652 Console                    1     27,296 K
TextInputHost.exe            16808 Console                    1     47,240 K
svchost.exe                  16744 Services                   0     12,632 K
RadeonSoftware.exe            5328 Console                    1     29,968 K
svchost.exe                  16880 Services                   0     14,796 K
CPUMetricsServer.exe          8312 Console                    1      4,664 K
RtkAudUService64.exe         17728 Console                    1     11,956 K
CCleanerPerformanceOptimi     5320 Services                   0     28,860 K
CCleaner64.exe               18344 Console                    1     58,372 K
GameViewer.exe                7504 Console                    1     68,668 K
crashpad_handler.exe          7096 Console                    1        580 K
CCXProcess.exe               17920 Console                    1      4,584 K
node.exe                     17700 Console                    1     46,168 K
conhost.exe                  17836 Console                    1      7,144 K
msedgewebview2.exe           19320 Console                    1    127,736 K
msedgewebview2.exe           19436 Console                    1     13,332 K
AdobeIPCBroker.exe           18232 Console                    1     11,544 K
Feishu.exe                   12480 Console                    1    155,444 K
msedgewebview2.exe           19528 Console                    1     57,336 K
msedgewebview2.exe           19536 Console                    1     37,928 K
Feishu.exe                   19580 Console                    1     20,372 K
msedgewebview2.exe           19716 Console                    1     20,924 K
msedgewebview2.exe           20120 Console                    1     45,112 K
Feishu.exe                   20812 Console                    1     13,980 K
Feishu.exe                   20884 Console                    1     38,132 K
svchost.exe                  20896 Services                   0      7,800 K
Feishu.exe                   20960 Console                    1     62,956 K
Feishu.exe                   21224 Console                    1     69,860 K
msedgewebview2.exe           13416 Console                    1     44,504 K
Feishu.exe                   21052 Console                    1     43,048 K
Feishu.exe                   18868 Console                    1     16,964 K
MuMuNxService.exe            20820 Console                    1     46,788 K
crashpad_handler.exe         21564 Console                    1        480 K
audiodg.exe                  21596 Services                   0     19,276 K
cncmd.exe                    22036 Console                    1      1,420 K
cmd.exe                      20692 Console                    1      2,876 K
conhost.exe                   9640 Console                    1      1,936 K
AMDRSServ.exe                19392 Console                    1     87,092 K
SOGOUSmartAssistant.exe      22964 Console                    1     18,596 K
svchost.exe                  17148 Services                   0     15,536 K
SOGOUSmartAssistant.exe      21744 Console                    1     23,632 K
node.exe                     22300 Console                    1     42,092 K
conhost.exe                  18340 Console                    1      8,824 K
node.exe                     21912 Console                    1     63,092 K
conhost.exe                  16636 Console                    1      7,092 K
nano.exe                     18716 Console                    1    100,920 K
DesktopService64.exe          3888 Services                   0     14,664 K
DesktopMgr64.exe             11008 Console                    1     29,208 K
svchost.exe                  22200 Services                   0      7,324 K
DesktopAITaskCenter.exe       2376 Console                    1     21,260 K
QQPCExternal.exe              6504 Console                    1     72,908 K
QQPCExternal.exe              2820 Console                    1     23,104 K
QQPCExternal.exe              6632 Console                    1     30,332 K
QQPCExternal.exe              1304 Console                    1     26,432 K
