
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
LenovoUtilityService.exe      6216 Services                   0     11,564 K
LISFService.exe               6228 Services                   0     16,944 K
svchost.exe                   6236 Services                   0     14,820 K
MuMuRemoteService.exe         6268 Services                   0      9,128 K
svchost.exe                   6276 Services                   0      6,940 K
GameViewerService.exe         6284 Services                   0      9,080 K
LNBITSSvc.exe                 6292 Services                   0     18,948 K
RtkAudUService64.exe          6300 Services                   0     10,520 K
svchost.exe                   6312 Services                   0      8,828 K
FMService64.exe               6320 Services                   0      7,648 K
TCPSVCS.EXE                   6352 Services                   0      4,680 K
svchost.exe                   6364 Services                   0      6,040 K
MpDefenderCoreService.exe     6396 Services                   0     20,120 K
wslservice.exe                6404 Services                   0     21,812 K
svchost.exe                   6416 Services                   0     42,600 K
MsMpEng.exe                   6460 Services                   0     84,312 K
QcomWlanSrvx64.exe            6476 Services                   0      6,140 K
svchost.exe                   6484 Services                   0     23,848 K
svchost.exe                   6496 Services                   0     15,680 K
svchost.exe                   6552 Services                   0      9,796 K
MSPCManagerService.exe        6584 Services                   0    128,628 K
crashpad_handler.exe          7068 Services                   0        440 K
crashpad_handler.exe          6844 Services                   0        520 K
WmiPrvSE.exe                  7288 Services                   0     13,928 K
svchost.exe                   7336 Services                   0     13,040 K
Locator.exe                   7448 Services                   0      3,156 K
MuMuRemoteBackend.exe         7548 Console                    1     37,932 K
WmiApSrv.exe                  7612 Services                   0      8,268 K
GameViewerServer.exe          7664 Console                    1     74,108 K
svchost.exe                   7676 Services                   0      5,936 K
MumuRemoteHealthd.exe         7760 Console                    1     23,400 K
SearchIndexer.exe             7792 Services                   0     73,440 K
GameViewerHealthd.exe         7800 Console                    1     13,456 K
svchost.exe                   8032 Services                   0     20,148 K
WmiPrvSE.exe                  8068 Services                   0     32,740 K
ChsIME.exe                    8280 Console                    1      7,788 K
crashpad_handler.exe          8296 Console                    1        448 K
crashpad_handler.exe          8400 Console                    1        556 K
LnvSvcFdn.exe                 8576 Services                   0      1,420 K
DAX3API.exe                   8700 Console                    1     10,096 K
TabTip.exe                    9028 Console                    1     17,704 K
AutoModeDetect.exe            8172 Console                    1     10,652 K
conhost.exe                   5460 Console                    1      7,944 K
crashpad_handler.exe          5832 Console                    1        564 K
crashpad_handler.exe          5704 Console                    1        416 K
sihost.exe                    9500 Console                    1     32,332 K
svchost.exe                   9552 Console                    1     29,384 K
svchost.exe                   9560 Console                    1      8,496 K
svchost.exe                   9620 Console                    1     39,276 K
svchost.exe                   9776 Services                   0     17,788 K
AUEPMaster.exe                9800 Console                    1      6,512 K
taskhostw.exe                 9844 Console                    1     19,732 K
ARPProtection.exe             9936 Console                    1      2,756 K
PopBlock.exe                  9996 Console                    1     11,144 K
svchost.exe                   9264 Services                   0     22,560 K
svchost.exe                  10056 Services                   0     15,200 K
Memory Compression           10176 Services                   0    957,852 K
Lenovo.Modern.ImControlle    10452 Services                   0     45,076 K
explorer.exe                 10528 Console                    1    274,344 K
taskhostw.exe                10704 Console                    1     25,108 K
svchost.exe                  10752 Services                   0      5,804 K
svchost.exe                  10880 Services                   0     10,932 K
AggregatorHost.exe           10892 Services                   0      9,860 K
svchost.exe                  11196 Services                   0      8,968 K
LenovoTray.exe               11244 Console                    1     14,456 K
dllhost.exe                  11500 Services                   0     13,044 K
LenovoInternetSoftwareFra    11716 Console                    1     18,848 K
unsecapp.exe                 11760 Services                   0     12,052 K
crashpad_handler.exe         11944 Console                    1        560 K
Lsf.exe                      12184 Console                    1     15,328 K
ResScheduler.exe             13068 Console                    1     23,424 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,896 K
svchost.exe                  13088 Services                   0     12,688 K
FnHotkeyUtility.exe           5752 Console                    1     20,976 K
wsctrl10.exe                 13472 Services                   0      8,892 K
unsecapp.exe                 13824 Console                    1     10,124 K
svchost.exe                  14120 Console                    1     27,240 K
StartMenuExperienceHost.e    14264 Console                    1     69,280 K
