
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
sihost.exe                    9500 Console                    1     32,900 K
svchost.exe                   9552 Console                    1     29,312 K
svchost.exe                   9560 Console                    1      8,536 K
svchost.exe                   9620 Console                    1     39,652 K
svchost.exe                   9776 Services                   0     17,724 K
AUEPMaster.exe                9800 Console                    1      6,536 K
taskhostw.exe                 9844 Console                    1     19,848 K
ARPProtection.exe             9936 Console                    1      3,372 K
PopBlock.exe                  9996 Console                    1     11,668 K
svchost.exe                   9264 Services                   0     22,668 K
svchost.exe                  10056 Services                   0     15,208 K
Memory Compression           10176 Services                   0    884,424 K
Lenovo.Modern.ImControlle    10452 Services                   0     45,424 K
explorer.exe                 10528 Console                    1    276,068 K
taskhostw.exe                10704 Console                    1     25,896 K
svchost.exe                  10752 Services                   0      5,804 K
svchost.exe                  10880 Services                   0     10,932 K
AggregatorHost.exe           10892 Services                   0      9,852 K
svchost.exe                  11196 Services                   0      8,964 K
LenovoTray.exe               11244 Console                    1     15,980 K
dllhost.exe                  11500 Services                   0     13,264 K
LenovoInternetSoftwareFra    11716 Console                    1     18,872 K
unsecapp.exe                 11760 Services                   0     12,040 K
crashpad_handler.exe         11944 Console                    1      1,064 K
Lsf.exe                      12184 Console                    1     15,328 K
ResScheduler.exe             13068 Console                    1     22,556 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,916 K
svchost.exe                  13088 Services                   0     12,956 K
FnHotkeyUtility.exe           5752 Console                    1     21,012 K
wsctrl10.exe                 13472 Services                   0      8,892 K
unsecapp.exe                 13824 Console                    1     10,140 K
svchost.exe                  14120 Console                    1     26,656 K
StartMenuExperienceHost.e    14264 Console                    1     71,364 K
SogouCloud.exe               14252 Console                    1     32,156 K
RuntimeBroker.exe            14352 Console                    1     31,780 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,020 K
SearchApp.exe                15280 Console                    1    191,864 K
RuntimeBroker.exe            13292 Console                    1     42,096 K
SGTool.exe                   12340 Console                    1     66,036 K
RuntimeBroker.exe            16652 Console                    1     27,408 K
TextInputHost.exe            16808 Console                    1     47,888 K
svchost.exe                  16744 Services                   0     12,556 K
RadeonSoftware.exe            5328 Console                    1     39,112 K
svchost.exe                  16880 Services                   0     14,900 K
CPUMetricsServer.exe          8312 Console                    1      4,752 K
RtkAudUService64.exe         17728 Console                    1     12,240 K
CCleanerPerformanceOptimi     5320 Services                   0     28,500 K
CCleaner64.exe               18344 Console                    1     61,304 K
GameViewer.exe                7504 Console                    1     68,604 K
crashpad_handler.exe          7096 Console                    1        856 K
CCXProcess.exe               17920 Console                    1      4,584 K
node.exe                     17700 Console                    1     45,480 K
conhost.exe                  17836 Console                    1      7,144 K
msedgewebview2.exe           19320 Console                    1    127,592 K
msedgewebview2.exe           19436 Console                    1     13,392 K
AdobeIPCBroker.exe           18232 Console                    1     11,348 K
Feishu.exe                   12480 Console                    1    154,204 K
msedgewebview2.exe           19528 Console                    1     57,528 K
msedgewebview2.exe           19536 Console                    1     36,876 K
Feishu.exe                   19580 Console                    1     20,420 K
msedgewebview2.exe           19716 Console                    1     21,032 K
msedgewebview2.exe           20120 Console                    1     45,156 K
Feishu.exe                   20812 Console                    1     14,524 K
Feishu.exe                   20884 Console                    1     38,156 K
svchost.exe                  20896 Services                   0      7,816 K
Feishu.exe                   20960 Console                    1     63,264 K
Feishu.exe                   21224 Console                    1     69,956 K
msedgewebview2.exe           13416 Console                    1     44,532 K
Feishu.exe                   21052 Console                    1     43,088 K
Feishu.exe                   18868 Console                    1     16,220 K
MuMuNxService.exe            20820 Console                    1     46,076 K
crashpad_handler.exe         21564 Console                    1        752 K
cncmd.exe                    22036 Console                    1      1,420 K
cmd.exe                      20692 Console                    1      2,876 K
conhost.exe                   9640 Console                    1      1,936 K
AMDRSServ.exe                19392 Console                    1     88,088 K
SOGOUSmartAssistant.exe      22964 Console                    1      3,476 K
SOGOUSmartAssistant.exe      21744 Console                    1      2,116 K
node.exe                     22300 Console                    1     42,092 K
conhost.exe                  18340 Console                    1      9,040 K
node.exe                     21912 Console                    1     70,088 K
conhost.exe                  16636 Console                    1      7,092 K
nano.exe                     18716 Console                    1     57,456 K
DesktopService64.exe          3888 Services                   0     14,664 K
DesktopMgr64.exe             11008 Console                    1     11,084 K
svchost.exe                  22200 Services                   0      7,328 K
DesktopAITaskCenter.exe       2376 Console                    1     21,268 K
QQPCExternal.exe              6504 Console                    1     71,656 K
QQPCExternal.exe              2820 Console                    1     23,740 K
QQPCExternal.exe              6632 Console                    1     28,952 K
QQPCExternal.exe              1304 Console                    1     27,204 K
AUEPDU.exe                   19144 Services                   0     12,956 K
svchost.exe                  21276 Services                   0     14,784 K
svchost.exe                  13108 Console                    1     20,968 K
svchost.exe                   1552 Services                   0     18,684 K
SecurityHealthService.exe    13220 Services                   0     13,692 K
AMDRSSrcExt.exe               8608 Console                    1     28,304 K
Doubao.exe                   20996 Console                    1    112,812 K
Doubao.exe                   17400 Console                    1     10,716 K
Doubao.exe                   22112 Console                    1     53,240 K
Doubao.exe                   17108 Console                    1     57,384 K
Doubao.exe                   14684 Console                    1     22,232 K
Doubao.exe                   13960 Console                    1     19,080 K
Doubao.exe                    2104 Console                    1     72,152 K
aha_doctor.exe               19280 Console                    1     30,444 K
Doubao.exe                   15264 Console                    1     22,228 K
Doubao.exe                    2956 Console                    1    142,032 K
CompPkgSrv.exe               14052 Console                    1      9,304 K
Doubao.exe                   15300 Console                    1     48,152 K
DynamicDependencyLifetime    11780 Console                    1      5,432 K
PushNotificationsLongRunn    16940 Console                    1     15,380 K
ApplicationFrameHost.exe     14768 Console                    1     59,524 K
HrAppStoreAppOM.exe          12284 Console                    1     32,912 K
taskhostw.exe                13348 Console                    1     30,040 K
EMDriverAssist.exe           13536 Console                    1     25,024 K
QQ.exe                       16344 Console                    1    351,396 K
crashpad_handler.exe         17168 Console                    1      2,164 K
QQ.exe                       16716 Console                    1     12,052 K
QQ.exe                       22256 Console                    1     34,924 K
QQ.exe                        2208 Console                    1    165,592 K
