
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    127.0.0.1:14355        127.0.0.1:49853        ESTABLISHED     17108
  TCP    127.0.0.1:14520        0.0.0.0:0              LISTENING       28588
  TCP    127.0.0.1:18789        0.0.0.0:0              LISTENING       27500
  TCP    127.0.0.1:18789        127.0.0.1:11540        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11546        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11547        ESTABLISHED     27500
  TCP    127.0.0.1:18790        0.0.0.0:0              LISTENING       21912
  TCP    127.0.0.1:41303        0.0.0.0:0              LISTENING       7548
  TCP    127.0.0.1:49853        0.0.0.0:0              LISTENING       20996
  TCP    127.0.0.1:49853        127.0.0.1:14355        ESTABLISHED     20996
  TCP    127.0.0.1:50158        0.0.0.0:0              LISTENING       26996
  TCP    127.0.0.1:57973        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:59575        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:65532        127.0.0.1:4537         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6459         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6832         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6860         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6923         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6925         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6941         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6982         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7005         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7040         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7056         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7058         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7059         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7062         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7065         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7067         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7074         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7075         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7188         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7190         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7191         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7196         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7208         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7210         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7211         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7212         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7213         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7214         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7236         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7239         ESTABLISHED     18716
  TCP    172.24.96.1:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.16.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.31.44:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.31.44:1026     4.145.79.82:443        ESTABLISHED     6484
  TCP    192.168.31.44:2728     121.30.176.241:443     ESTABLISHED     17108
  TCP    192.168.31.44:3582     192.168.31.117:5666    ESTABLISHED     18136
  TCP    192.168.31.44:4686     121.30.176.241:443     ESTABLISHED     17108
  TCP    192.168.31.44:4725     139.196.208.61:443     ESTABLISHED     20960
  TCP    192.168.31.44:4736     74.125.142.188:5228    ESTABLISHED     18136
  TCP    192.168.31.44:4741     121.30.176.241:443     ESTABLISHED     15300
  TCP    192.168.31.44:4952     42.186.118.112:443     ESTABLISHED     7664
  TCP    192.168.31.44:5029     192.168.31.117:5666    ESTABLISHED     18136
  TCP    192.168.31.44:5102     119.3.160.204:11111    ESTABLISHED     31036
  TCP    192.168.31.44:5133     101.126.24.53:443      CLOSE_WAIT      31036
  TCP    192.168.31.44:5613     157.255.202.23:443     ESTABLISHED     27500
  TCP    192.168.31.44:5614     157.255.202.23:443     ESTABLISHED     27500
  TCP    192.168.31.44:6374     122.189.81.3:443       CLOSE_WAIT      19688
  TCP    192.168.31.44:6983     223.6.6.6:443          ESTABLISHED     18716
  TCP    192.168.31.44:6984     116.162.34.80:443      ESTABLISHED     18716
  TCP    192.168.31.44:6994     59.80.45.72:443        TIME_WAIT       0
  TCP    192.168.31.44:7006     59.80.45.72:443        ESTABLISHED     18716
  TCP    192.168.31.44:7018     59.80.45.48:443        TIME_WAIT       0
  TCP    192.168.31.44:7019     59.80.45.48:443        TIME_WAIT       0
  TCP    192.168.31.44:7020     180.130.240.209:443    TIME_WAIT       0
  TCP    192.168.31.44:7021     59.80.57.36:443        TIME_WAIT       0
  TCP    192.168.31.44:7022     59.80.45.58:443        TIME_WAIT       0
  TCP    192.168.31.44:7025     116.169.180.152:443    TIME_WAIT       0
  TCP    192.168.31.44:7043     59.80.57.35:443        TIME_WAIT       0
  TCP    192.168.31.44:7045     58.254.149.162:80      TIME_WAIT       0
  TCP    192.168.31.44:7063     123.56.171.15:443      ESTABLISHED     18716
  TCP    192.168.31.44:7070     59.80.45.41:443        TIME_WAIT       0
  TCP    192.168.31.44:7071     59.80.45.58:443        TIME_WAIT       0
  TCP    192.168.31.44:7073     59.80.57.36:443        TIME_WAIT       0
  TCP    192.168.31.44:7187     120.133.65.240:443     ESTABLISHED     13068
  TCP    192.168.31.44:7189     58.254.149.161:443     ESTABLISHED     18716
  TCP    192.168.31.44:7192     61.243.15.199:443      ESTABLISHED     18716
  TCP    192.168.31.44:7193     20.50.201.206:443      ESTABLISHED     6396
  TCP    192.168.31.44:7197     59.80.57.34:443        ESTABLISHED     18716
  TCP    192.168.31.44:7209     61.243.15.198:443      ESTABLISHED     18716
  TCP    192.168.31.44:7215     180.130.117.51:443     ESTABLISHED     18716
  TCP    192.168.31.44:7216     59.80.57.37:443        ESTABLISHED     18716
  TCP    192.168.31.44:7217     59.80.45.48:443        ESTABLISHED     18716
  TCP    192.168.31.44:7218     59.80.45.72:443        ESTABLISHED     18716
  TCP    192.168.31.44:7219     59.80.45.48:443        ESTABLISHED     18716
  TCP    192.168.31.44:7232     220.195.132.43:80      TIME_WAIT       0
  TCP    192.168.31.44:7233     220.195.132.43:80      TIME_WAIT       0
  TCP    192.168.31.44:7234     27.44.121.246:80       ESTABLISHED     16344
  TCP    192.168.31.44:7237     157.148.33.165:443     ESTABLISHED     18716
  TCP    192.168.31.44:7238     120.133.65.240:443     ESTABLISHED     6172
  TCP    192.168.31.44:8800     120.92.210.170:443     CLOSE_WAIT      31036
  TCP    192.168.31.44:13614    122.189.81.3:443       CLOSE_WAIT      31036
  TCP    192.168.31.44:14344    157.148.57.99:80       ESTABLISHED     16344
  TCP    192.168.31.44:14940    103.212.12.47:3000     ESTABLISHED     11716
  TCP    [::]:7                 [::]:0                 LISTENING       6352
  TCP    [::]:9                 [::]:0                 LISTENING       6352
  TCP    [::]:13                [::]:0                 LISTENING       6352
  TCP    [::]:17                [::]:0                 LISTENING       6352
  TCP    [::]:19                [::]:0                 LISTENING       6352
  TCP    [::]:135               [::]:0                 LISTENING       1652
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1027              [::]:0                 LISTENING       1228
  TCP    [::]:2179              [::]:0                 LISTENING       3584
  TCP    [::]:3389              [::]:0                 LISTENING       2028
  TCP    [::]:5471              [::]:0                 LISTENING       31036
  TCP    [::]:49664             [::]:0                 LISTENING       1328
  TCP    [::]:49665             [::]:0                 LISTENING       1144
  TCP    [::]:49666             [::]:0                 LISTENING       2296
  TCP    [::]:49667             [::]:0                 LISTENING       2852
  TCP    [::]:49668             [::]:0                 LISTENING       4316
  TCP    [::]:49669             [::]:0                 LISTENING       6132
  UDP    0.0.0.0:7              *:*                                    6352
  UDP    0.0.0.0:9              *:*                                    6352
  UDP    0.0.0.0:13             *:*                                    6352
  UDP    0.0.0.0:17             *:*                                    6352
  UDP    0.0.0.0:19             *:*                                    6352
  UDP    0.0.0.0:53             *:*                                    4892
  UDP    0.0.0.0:3389           *:*                                    2028
  UDP    0.0.0.0:5050           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    2860
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5355           *:*                                    2860
  UDP    0.0.0.0:50066          *:*                                    31036
  UDP    0.0.0.0:50255          *:*                                    31036
  UDP    0.0.0.0:50337          *:*                                    16956
  UDP    0.0.0.0:50744          *:*                                    11008
  UDP    0.0.0.0:50897          *:*                                    4892
  UDP    0.0.0.0:50898          *:*                                    4892
  UDP    0.0.0.0:51183          *:*                                    16956
  UDP    0.0.0.0:51556          *:*                                    31036
  UDP    0.0.0.0:52151          *:*                                    16956
  UDP    0.0.0.0:52575          *:*                                    18716
  UDP    0.0.0.0:53589          *:*                                    16956
  UDP    0.0.0.0:53600          *:*                                    16956
  UDP    0.0.0.0:53639          *:*                                    16956
  UDP    0.0.0.0:53901          *:*                                    16956
  UDP    0.0.0.0:54380          *:*                                    16956
  UDP    0.0.0.0:54655          *:*                                    31036
  UDP    0.0.0.0:54997          *:*                                    16956
  UDP    0.0.0.0:55136          *:*                                    31036
  UDP    0.0.0.0:55308          *:*                                    16956
  UDP    0.0.0.0:55790          *:*                                    16956
  UDP    0.0.0.0:55810          *:*                                    16956
  UDP    0.0.0.0:56107          *:*                                    16956
  UDP    0.0.0.0:56226          *:*                                    31036
  UDP    0.0.0.0:57863          *:*                                    16956
  UDP    0.0.0.0:57952          *:*                                    16956
  UDP    0.0.0.0:58358          *:*                                    31036
  UDP    0.0.0.0:59768          *:*                                    31036
  UDP    0.0.0.0:60100          *:*                                    31036
  UDP    0.0.0.0:60351          *:*                                    31036
  UDP    0.0.0.0:60357          *:*                                    18716
  UDP    0.0.0.0:60440          *:*                                    16956
  UDP    0.0.0.0:61277          *:*                                    16956
  UDP    0.0.0.0:62152          *:*                                    16956
  UDP    0.0.0.0:62299          *:*                                    16956
  UDP    0.0.0.0:62410          *:*                                    16956
  UDP    0.0.0.0:62707          *:*                                    16956
  UDP    0.0.0.0:62776          *:*                                    31036
  UDP    0.0.0.0:63023          *:*                                    31036
  UDP    0.0.0.0:63051          *:*                                    16956
  UDP    0.0.0.0:64105          *:*                                    16956
  UDP    0.0.0.0:64349          *:*                                    16956
  UDP    0.0.0.0:64611          *:*                                    31036
  UDP    0.0.0.0:64930          *:*                                    31036
  UDP    0.0.0.0:65230          *:*                                    16956
  UDP    0.0.0.0:65421          *:*                                    18716
  UDP    127.0.0.1:1900         *:*                                    5864
  UDP    127.0.0.1:49664        *:*                                    6164
