
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    192.168.31.44:7006     59.80.45.72:443        ESTABLISHED     18716
  TCP    192.168.31.44:8800     120.92.210.170:443     CLOSE_WAIT      31036
  TCP    192.168.31.44:9281     180.184.93.15:443      CLOSE_WAIT      31036
  TCP    192.168.31.44:10611    192.168.31.117:5666    ESTABLISHED     18136
  TCP    192.168.31.44:10853    122.189.81.3:443       CLOSE_WAIT      19688
  TCP    192.168.31.44:10890    122.189.81.3:443       CLOSE_WAIT      31036
  TCP    192.168.31.44:11110    112.90.79.218:443      ESTABLISHED     27500
  TCP    192.168.31.44:11111    112.90.79.218:443      ESTABLISHED     27500
  TCP    192.168.31.44:11870    59.80.57.34:443        TIME_WAIT       0
  TCP    192.168.31.44:11887    59.80.45.48:443        TIME_WAIT       0
  TCP    192.168.31.44:11888    59.80.45.72:443        TIME_WAIT       0
  TCP    192.168.31.44:11889    59.80.57.41:443        TIME_WAIT       0
  TCP    192.168.31.44:11890    59.80.45.48:443        TIME_WAIT       0
  TCP    192.168.31.44:11924    59.80.45.58:443        TIME_WAIT       0
  TCP    192.168.31.44:11941    59.80.57.34:443        TIME_WAIT       0
  TCP    192.168.31.44:11942    59.80.45.48:443        TIME_WAIT       0
  TCP    192.168.31.44:11943    59.80.45.39:443        TIME_WAIT       0
  TCP    192.168.31.44:11944    59.80.45.58:443        TIME_WAIT       0
  TCP    192.168.31.44:11945    59.80.45.58:443        TIME_WAIT       0
  TCP    192.168.31.44:11947    39.108.162.200:443     ESTABLISHED     18716
  TCP    192.168.31.44:11960    223.6.6.6:443          ESTABLISHED     18716
  TCP    192.168.31.44:11961    61.243.19.28:443       ESTABLISHED     18716
  TCP    192.168.31.44:11963    59.80.57.41:443        ESTABLISHED     18716
  TCP    192.168.31.44:11980    61.243.19.25:443       ESTABLISHED     18716
  TCP    192.168.31.44:11981    59.80.45.58:443        ESTABLISHED     18716
  TCP    192.168.31.44:11982    59.80.57.37:443        ESTABLISHED     18716
  TCP    192.168.31.44:11983    59.80.45.48:443        ESTABLISHED     18716
  TCP    192.168.31.44:11984    180.130.240.209:443    ESTABLISHED     18716
  TCP    192.168.31.44:11986    61.243.15.203:443      ESTABLISHED     18716
  TCP    192.168.31.44:11987    120.133.65.240:443     ESTABLISHED     13068
  TCP    192.168.31.44:14344    157.148.57.99:80       ESTABLISHED     16344
  TCP    [::]:7                 [::]:0                 LISTENING       6352
  TCP    [::]:9                 [::]:0                 LISTENING       6352
  TCP    [::]:13                [::]:0                 LISTENING       6352
  TCP    [::]:17                [::]:0                 LISTENING       6352
  TCP    [::]:19                [::]:0                 LISTENING       6352
  TCP    [::]:135               [::]:0                 LISTENING       1652
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1027              [::]:0                 LISTENING       1228
  TCP    [::]:2179              [::]:0                 LISTENING       3584
  TCP    [::]:3389              [::]:0                 LISTENING       2028
  TCP    [::]:5471              [::]:0                 LISTENING       31036
  TCP    [::]:49664             [::]:0                 LISTENING       1328
  TCP    [::]:49665             [::]:0                 LISTENING       1144
  TCP    [::]:49666             [::]:0                 LISTENING       2296
  TCP    [::]:49667             [::]:0                 LISTENING       2852
  TCP    [::]:49668             [::]:0                 LISTENING       4316
  TCP    [::]:49669             [::]:0                 LISTENING       6132
  UDP    0.0.0.0:7              *:*                                    6352
  UDP    0.0.0.0:9              *:*                                    6352
  UDP    0.0.0.0:13             *:*                                    6352
  UDP    0.0.0.0:17             *:*                                    6352
  UDP    0.0.0.0:19             *:*                                    6352
  UDP    0.0.0.0:53             *:*                                    4892
  UDP    0.0.0.0:3389           *:*                                    2028
  UDP    0.0.0.0:5050           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    18136
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    20996
  UDP    0.0.0.0:5353           *:*                                    17708
  UDP    0.0.0.0:5353           *:*                                    17108
  UDP    0.0.0.0:5353           *:*                                    2860
  UDP    0.0.0.0:5355           *:*                                    2860
  UDP    0.0.0.0:50066          *:*                                    31036
  UDP    0.0.0.0:50255          *:*                                    31036
  UDP    0.0.0.0:50337          *:*                                    16956
  UDP    0.0.0.0:50744          *:*                                    11008
  UDP    0.0.0.0:50897          *:*                                    4892
  UDP    0.0.0.0:50898          *:*                                    4892
  UDP    0.0.0.0:51183          *:*                                    16956
  UDP    0.0.0.0:51556          *:*                                    31036
  UDP    0.0.0.0:52151          *:*                                    16956
  UDP    0.0.0.0:52575          *:*                                    18716
  UDP    0.0.0.0:53589          *:*                                    16956
  UDP    0.0.0.0:53600          *:*                                    16956
  UDP    0.0.0.0:53639          *:*                                    16956
  UDP    0.0.0.0:53901          *:*                                    16956
  UDP    0.0.0.0:54292          *:*                                    18716
  UDP    0.0.0.0:54293          *:*                                    18716
  UDP    0.0.0.0:54294          *:*                                    18716
  UDP    0.0.0.0:54297          *:*                                    18716
  UDP    0.0.0.0:54298          *:*                                    18716
