
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
sihost.exe                    9500 Console                    1     32,744 K
svchost.exe                   9552 Console                    1     29,360 K
svchost.exe                   9560 Console                    1      8,500 K
svchost.exe                   9620 Console                    1     39,500 K
svchost.exe                   9776 Services                   0     17,516 K
AUEPMaster.exe                9800 Console                    1      6,544 K
taskhostw.exe                 9844 Console                    1     19,704 K
ARPProtection.exe             9936 Console                    1      2,792 K
PopBlock.exe                  9996 Console                    1     10,988 K
svchost.exe                   9264 Services                   0     22,628 K
svchost.exe                  10056 Services                   0     15,332 K
Memory Compression           10176 Services                   0    946,232 K
Lenovo.Modern.ImControlle    10452 Services                   0     45,268 K
explorer.exe                 10528 Console                    1    271,868 K
taskhostw.exe                10704 Console                    1     25,252 K
svchost.exe                  10752 Services                   0      5,804 K
svchost.exe                  10880 Services                   0     10,932 K
AggregatorHost.exe           10892 Services                   0      9,880 K
svchost.exe                  11196 Services                   0      8,968 K
LenovoTray.exe               11244 Console                    1     13,796 K
dllhost.exe                  11500 Services                   0     13,120 K
LenovoInternetSoftwareFra    11716 Console                    1     18,872 K
unsecapp.exe                 11760 Services                   0     12,632 K
crashpad_handler.exe         11944 Console                    1        560 K
Lsf.exe                      12184 Console                    1     15,328 K
ResScheduler.exe             13068 Console                    1     22,980 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,916 K
svchost.exe                  13088 Services                   0     12,824 K
FnHotkeyUtility.exe           5752 Console                    1     20,996 K
wsctrl10.exe                 13472 Services                   0      8,892 K
unsecapp.exe                 13824 Console                    1     10,144 K
svchost.exe                  14120 Console                    1     27,612 K
StartMenuExperienceHost.e    14264 Console                    1     71,860 K
SogouCloud.exe               14252 Console                    1     31,080 K
RuntimeBroker.exe            14352 Console                    1     31,748 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,040 K
SearchApp.exe                15280 Console                    1    213,860 K
RuntimeBroker.exe            13292 Console                    1     42,544 K
SGTool.exe                   12340 Console                    1     65,956 K
RuntimeBroker.exe            16652 Console                    1     27,436 K
TextInputHost.exe            16808 Console                    1     47,692 K
svchost.exe                  16744 Services                   0     12,596 K
RadeonSoftware.exe            5328 Console                    1     30,192 K
svchost.exe                  16880 Services                   0     14,892 K
CPUMetricsServer.exe          8312 Console                    1      4,752 K
RtkAudUService64.exe         17728 Console                    1     12,068 K
CCleanerPerformanceOptimi     5320 Services                   0     28,848 K
CCleaner64.exe               18344 Console                    1     61,200 K
GameViewer.exe                7504 Console                    1     68,700 K
crashpad_handler.exe          7096 Console                    1        564 K
CCXProcess.exe               17920 Console                    1      4,596 K
node.exe                     17700 Console                    1     45,396 K
conhost.exe                  17836 Console                    1      7,144 K
msedgewebview2.exe           19320 Console                    1    128,516 K
msedgewebview2.exe           19436 Console                    1     13,388 K
AdobeIPCBroker.exe           18232 Console                    1     11,356 K
Feishu.exe                   12480 Console                    1    155,684 K
msedgewebview2.exe           19528 Console                    1     57,416 K
msedgewebview2.exe           19536 Console                    1     37,776 K
Feishu.exe                   19580 Console                    1     20,412 K
msedgewebview2.exe           19716 Console                    1     20,948 K
msedgewebview2.exe           20120 Console                    1     45,148 K
Feishu.exe                   20812 Console                    1     14,648 K
Feishu.exe                   20884 Console                    1     38,152 K
svchost.exe                  20896 Services                   0      7,760 K
Feishu.exe                   20960 Console                    1     63,180 K
Feishu.exe                   21224 Console                    1     70,012 K
msedgewebview2.exe           13416 Console                    1     44,524 K
Feishu.exe                   21052 Console                    1     43,124 K
Feishu.exe                   18868 Console                    1     16,212 K
MuMuNxService.exe            20820 Console                    1     46,812 K
crashpad_handler.exe         21564 Console                    1        468 K
cncmd.exe                    22036 Console                    1      1,420 K
cmd.exe                      20692 Console                    1      2,876 K
conhost.exe                   9640 Console                    1      1,936 K
AMDRSServ.exe                19392 Console                    1     87,680 K
SOGOUSmartAssistant.exe      22964 Console                    1     24,736 K
SOGOUSmartAssistant.exe      21744 Console                    1     61,072 K
node.exe                     22300 Console                    1     42,092 K
conhost.exe                  18340 Console                    1      9,040 K
node.exe                     21912 Console                    1     63,244 K
conhost.exe                  16636 Console                    1      7,092 K
nano.exe                     18716 Console                    1     62,372 K
