
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
crashpad_handler.exe          5832 Console                    1        564 K
crashpad_handler.exe          5704 Console                    1        420 K
sihost.exe                    9500 Console                    1     31,140 K
svchost.exe                   9552 Console                    1     29,384 K
svchost.exe                   9560 Console                    1      8,484 K
svchost.exe                   9620 Console                    1     39,448 K
svchost.exe                   9776 Services                   0     17,556 K
AUEPMaster.exe                9800 Console                    1      6,140 K
taskhostw.exe                 9844 Console                    1     19,492 K
ARPProtection.exe             9936 Console                    1      3,700 K
ApowerREC.exe                 9976 Console                    1     57,584 K
PopBlock.exe                  9996 Console                    1      7,164 K
svchost.exe                   9264 Services                   0     22,368 K
svchost.exe                  10056 Services                   0     15,220 K
Memory Compression           10176 Services                   0    953,092 K
Lenovo.Modern.ImControlle    10452 Services                   0     48,636 K
explorer.exe                 10528 Console                    1    280,004 K
taskhostw.exe                10704 Console                    1     20,492 K
svchost.exe                  10752 Services                   0      5,796 K
svchost.exe                  10880 Services                   0     10,916 K
AggregatorHost.exe           10892 Services                   0      9,776 K
svchost.exe                  11196 Services                   0      8,956 K
LenovoTray.exe               11244 Console                    1     20,820 K
dllhost.exe                  11500 Services                   0     12,748 K
LenovoInternetSoftwareFra    11716 Console                    1     18,848 K
unsecapp.exe                 11760 Services                   0     11,624 K
crashpad_handler.exe         11944 Console                    1        560 K
Lsf.exe                      12184 Console                    1     15,188 K
ResScheduler.exe             13068 Console                    1     30,672 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,940 K
svchost.exe                  13088 Services                   0     12,728 K
FnHotkeyUtility.exe           5752 Console                    1     21,264 K
wsctrl10.exe                 13472 Services                   0      8,888 K
unsecapp.exe                 13824 Console                    1     10,148 K
svchost.exe                  14120 Console                    1     26,876 K
StartMenuExperienceHost.e    14264 Console                    1     66,840 K
SogouCloud.exe               14252 Console                    1     52,864 K
RuntimeBroker.exe            14352 Console                    1     30,704 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     32,612 K
SearchApp.exe                15280 Console                    1     99,472 K
RuntimeBroker.exe            13292 Console                    1     43,364 K
SGTool.exe                   12340 Console                    1     66,240 K
RuntimeBroker.exe            16652 Console                    1     34,812 K
TextInputHost.exe            16808 Console                    1     47,476 K
svchost.exe                  16744 Services                   0     12,512 K
RadeonSoftware.exe            5328 Console                    1     25,740 K
svchost.exe                  16880 Services                   0     14,980 K
CPUMetricsServer.exe          8312 Console                    1      4,552 K
RtkAudUService64.exe         17728 Console                    1     12,412 K
CCleanerPerformanceOptimi     5320 Services                   0     28,260 K
CCleaner64.exe               18344 Console                    1     55,364 K
GameViewer.exe                7504 Console                    1     70,248 K
crashpad_handler.exe          7096 Console                    1        716 K
CCXProcess.exe               17920 Console                    1      4,584 K
node.exe                     17700 Console                    1     45,652 K
conhost.exe                  17836 Console                    1      7,152 K
msedgewebview2.exe           19320 Console                    1    130,104 K
msedgewebview2.exe           19436 Console                    1     13,372 K
AdobeIPCBroker.exe           18232 Console                    1     11,356 K
Feishu.exe                   12480 Console                    1    154,384 K
msedgewebview2.exe           19528 Console                    1     58,892 K
msedgewebview2.exe           19536 Console                    1     37,388 K
Feishu.exe                   19580 Console                    1     20,384 K
msedgewebview2.exe           19716 Console                    1     21,392 K
msedgewebview2.exe           20120 Console                    1     46,640 K
Feishu.exe                   20812 Console                    1     14,208 K
Feishu.exe                   20884 Console                    1     38,112 K
svchost.exe                  20896 Services                   0      7,756 K
Feishu.exe                   20960 Console                    1     65,904 K
Feishu.exe                   21224 Console                    1     69,532 K
msedgewebview2.exe           13416 Console                    1     46,120 K
Feishu.exe                   21052 Console                    1     42,824 K
Feishu.exe                   18868 Console                    1     16,756 K
MuMuNxService.exe            20820 Console                    1     45,272 K
crashpad_handler.exe         21564 Console                    1        620 K
audiodg.exe                  21596 Services                   0     20,512 K
cncmd.exe                    22036 Console                    1      1,396 K
cmd.exe                      20692 Console                    1      2,808 K
conhost.exe                   9640 Console                    1      1,940 K
AMDRSServ.exe                19392 Console                    1     87,620 K
SOGOUSmartAssistant.exe      22964 Console                    1     25,312 K
svchost.exe                  17148 Services                   0     15,440 K
SOGOUSmartAssistant.exe      21744 Console                    1     58,280 K
node.exe                     22300 Console                    1     42,048 K
conhost.exe                  18340 Console                    1      8,940 K
node.exe                     21912 Console                    1     69,816 K
conhost.exe                  16636 Console                    1      7,104 K
nano.exe                     18716 Console                    1     62,888 K
