
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
sihost.exe                    9500 Console                    1     33,072 K
svchost.exe                   9552 Console                    1     30,004 K
svchost.exe                   9560 Console                    1      8,840 K
svchost.exe                   9620 Console                    1     38,940 K
svchost.exe                   9776 Services                   0     17,804 K
AUEPMaster.exe                9800 Console                    1      6,620 K
taskhostw.exe                 9844 Console                    1     19,276 K
ARPProtection.exe             9936 Console                    1      3,084 K
ApowerREC.exe                 9976 Console                    1     61,592 K
PopBlock.exe                  9996 Console                    1     15,524 K
svchost.exe                   9264 Services                   0     23,028 K
svchost.exe                  10056 Services                   0     15,252 K
Memory Compression           10176 Services                   0    876,900 K
Lenovo.Modern.ImControlle    10452 Services                   0     51,028 K
explorer.exe                 10528 Console                    1    282,856 K
taskhostw.exe                10704 Console                    1     21,956 K
svchost.exe                  10752 Services                   0      5,804 K
svchost.exe                  10880 Services                   0     11,528 K
AggregatorHost.exe           10892 Services                   0     10,020 K
svchost.exe                  11196 Services                   0      9,508 K
LenovoTray.exe               11244 Console                    1     19,552 K
dllhost.exe                  11500 Services                   0     12,992 K
LenovoInternetSoftwareFra    11716 Console                    1     21,040 K
unsecapp.exe                 11760 Services                   0     10,788 K
crashpad_handler.exe         11944 Console                    1         16 K
Lsf.exe                      12184 Console                    1     16,032 K
ResScheduler.exe             13068 Console                    1     21,388 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     12,564 K
svchost.exe                  13088 Services                   0     13,512 K
FnHotkeyUtility.exe           5752 Console                    1     21,980 K
wsctrl10.exe                 13472 Services                   0      9,696 K
unsecapp.exe                 13824 Console                    1     10,220 K
svchost.exe                  14120 Console                    1     27,020 K
StartMenuExperienceHost.e    14264 Console                    1     66,708 K
SogouCloud.exe               14252 Console                    1     52,176 K
RuntimeBroker.exe            14352 Console                    1     31,876 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,420 K
SearchApp.exe                15280 Console                    1    198,588 K
RuntimeBroker.exe            13292 Console                    1     42,788 K
SGTool.exe                   12340 Console                    1     64,784 K
RuntimeBroker.exe            16652 Console                    1     31,148 K
TextInputHost.exe            16808 Console                    1     47,468 K
svchost.exe                  16744 Services                   0     13,184 K
RadeonSoftware.exe            5328 Console                    1     43,596 K
svchost.exe                  16880 Services                   0     14,872 K
CPUMetricsServer.exe          8312 Console                    1      5,260 K
RtkAudUService64.exe         17728 Console                    1     12,044 K
CCleanerPerformanceOptimi     5320 Services                   0     28,884 K
CCleaner64.exe               18344 Console                    1     62,144 K
GameViewer.exe                7504 Console                    1     71,652 K
crashpad_handler.exe          7096 Console                    1         16 K
CCXProcess.exe               17920 Console                    1      4,584 K
node.exe                     17700 Console                    1     50,228 K
