
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    127.0.0.1:65532        127.0.0.1:2785         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:2853         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:2895         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:2966         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:2991         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:2993         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3001         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3008         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3010         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3012         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3081         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3121         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3141         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3155         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3157         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3219         FIN_WAIT_2      11056
  TCP    127.0.0.1:65532        127.0.0.1:3221         FIN_WAIT_2      11056
  TCP    127.0.0.1:65532        127.0.0.1:3224         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3230         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3247         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3249         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3253         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3258         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3266         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3268         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:3270         ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:14163        ESTABLISHED     11056
  TCP    127.0.0.1:65532        127.0.0.1:14221        ESTABLISHED     11056
  TCP    172.18.240.1:139       0.0.0.0:0              LISTENING       4
  TCP    172.23.144.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.31.44:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.31.44:1026     4.145.79.81:443        ESTABLISHED     6484
  TCP    192.168.31.44:1475     112.90.79.218:443      ESTABLISHED     23896
  TCP    192.168.31.44:1476     112.90.79.218:443      ESTABLISHED     23896
  TCP    192.168.31.44:2681     27.44.121.201:443      ESTABLISHED     11056
  TCP    192.168.31.44:2855     116.162.34.80:443      ESTABLISHED     11056
  TCP    192.168.31.44:2943     122.189.81.3:443       CLOSE_WAIT      11400
  TCP    192.168.31.44:2967     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:2992     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:2994     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:2996     20.210.179.173:55520   TIME_WAIT       0
  TCP    192.168.31.44:3002     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:3007     27.44.121.184:443      ESTABLISHED     16372
  TCP    192.168.31.44:3009     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:3011     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:3013     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:3015     20.210.179.173:55520   TIME_WAIT       0
  TCP    192.168.31.44:3017     20.210.179.173:55520   TIME_WAIT       0
  TCP    192.168.31.44:3019     20.210.179.173:55520   TIME_WAIT       0
  TCP    192.168.31.44:3021     20.210.179.173:55520   TIME_WAIT       0
  TCP    192.168.31.44:3023     20.210.179.173:55520   TIME_WAIT       0
  TCP    192.168.31.44:3025     20.210.179.173:55520   TIME_WAIT       0
  TCP    192.168.31.44:3082     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:3123     27.44.121.190:443      ESTABLISHED     11056
  TCP    192.168.31.44:3142     58.254.137.225:443     ESTABLISHED     11056
  TCP    192.168.31.44:3156     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:3158     20.210.179.173:55520   ESTABLISHED     11056
  TCP    192.168.31.44:3171     223.6.6.6:443          ESTABLISHED     11056
  TCP    192.168.31.44:3174     120.133.65.240:443     TIME_WAIT       0
  TCP    192.168.31.44:3175     13.89.179.15:443       ESTABLISHED     6172
