
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
LenovoUtilityService.exe      6216 Services                   0     11,600 K
LISFService.exe               6228 Services                   0     17,180 K
svchost.exe                   6236 Services                   0     14,884 K
MuMuRemoteService.exe         6268 Services                   0      9,172 K
svchost.exe                   6276 Services                   0      6,964 K
GameViewerService.exe         6284 Services                   0      9,128 K
LNBITSSvc.exe                 6292 Services                   0     17,824 K
RtkAudUService64.exe          6300 Services                   0     11,304 K
svchost.exe                   6312 Services                   0      9,080 K
FMService64.exe               6320 Services                   0      7,984 K
TCPSVCS.EXE                   6352 Services                   0      4,688 K
svchost.exe                   6364 Services                   0      6,048 K
MpDefenderCoreService.exe     6396 Services                   0     20,152 K
wslservice.exe                6404 Services                   0     21,880 K
svchost.exe                   6416 Services                   0     56,884 K
MsMpEng.exe                   6460 Services                   0     84,320 K
QcomWlanSrvx64.exe            6476 Services                   0      6,204 K
svchost.exe                   6484 Services                   0     24,180 K
svchost.exe                   6496 Services                   0     15,672 K
svchost.exe                   6552 Services                   0      9,864 K
MSPCManagerService.exe        6584 Services                   0    131,804 K
crashpad_handler.exe          7068 Services                   0         16 K
crashpad_handler.exe          6844 Services                   0         16 K
WmiPrvSE.exe                  7288 Services                   0     15,088 K
svchost.exe                   7336 Services                   0     13,212 K
Locator.exe                   7448 Services                   0      3,172 K
MuMuRemoteBackend.exe         7548 Console                    1     38,268 K
WmiApSrv.exe                  7612 Services                   0      8,284 K
GameViewerServer.exe          7664 Console                    1    121,352 K
svchost.exe                   7676 Services                   0      5,976 K
MumuRemoteHealthd.exe         7760 Console                    1     23,464 K
SearchIndexer.exe             7792 Services                   0     77,140 K
GameViewerHealthd.exe         7800 Console                    1     13,512 K
svchost.exe                   8032 Services                   0     20,764 K
WmiPrvSE.exe                  8068 Services                   0     36,312 K
ChsIME.exe                    8280 Console                    1      7,804 K
crashpad_handler.exe          8296 Console                    1         20 K
crashpad_handler.exe          8400 Console                    1         20 K
LnvSvcFdn.exe                 8576 Services                   0      1,288 K
