
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
sihost.exe                    9500 Console                    1     34,732 K
svchost.exe                   9552 Console                    1     29,476 K
svchost.exe                   9560 Console                    1      8,496 K
svchost.exe                   9620 Console                    1     40,740 K
svchost.exe                   9776 Services                   0     17,324 K
AUEPMaster.exe                9800 Console                    1      6,572 K
taskhostw.exe                 9844 Console                    1     19,244 K
ARPProtection.exe             9936 Console                    1      3,976 K
PopBlock.exe                  9996 Console                    1     14,664 K
svchost.exe                   9264 Services                   0     22,604 K
svchost.exe                  10056 Services                   0     15,204 K
Memory Compression           10176 Services                   0    976,712 K
Lenovo.Modern.ImControlle    10452 Services                   0     46,364 K
explorer.exe                 10528 Console                    1    286,716 K
taskhostw.exe                10704 Console                    1     23,876 K
svchost.exe                  10752 Services                   0      5,804 K
svchost.exe                  10880 Services                   0     10,940 K
AggregatorHost.exe           10892 Services                   0      9,932 K
svchost.exe                  11196 Services                   0      9,064 K
LenovoTray.exe               11244 Console                    1     22,248 K
dllhost.exe                  11500 Services                   0     13,284 K
LenovoInternetSoftwareFra    11716 Console                    1     18,844 K
unsecapp.exe                 11760 Services                   0     13,668 K
crashpad_handler.exe         11944 Console                    1        692 K
Lsf.exe                      12184 Console                    1     15,264 K
ResScheduler.exe             13068 Console                    1     27,360 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,984 K
svchost.exe                  13088 Services                   0     13,560 K
FnHotkeyUtility.exe           5752 Console                    1     21,624 K
wsctrl10.exe                 13472 Services                   0      9,512 K
unsecapp.exe                 13824 Console                    1     10,332 K
svchost.exe                  14120 Console                    1     29,388 K
StartMenuExperienceHost.e    14264 Console                    1     69,508 K
SogouCloud.exe               14252 Console                    1     51,892 K
RuntimeBroker.exe            14352 Console                    1     31,808 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,084 K
SearchApp.exe                15280 Console                    1    106,028 K
RuntimeBroker.exe            13292 Console                    1     42,352 K
SGTool.exe                   12340 Console                    1     68,700 K
RuntimeBroker.exe            16652 Console                    1     27,636 K
