
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
sihost.exe                    9500 Console                    1     34,680 K
svchost.exe                   9552 Console                    1     29,368 K
svchost.exe                   9560 Console                    1      8,484 K
svchost.exe                   9620 Console                    1     40,892 K
svchost.exe                   9776 Services                   0     17,896 K
AUEPMaster.exe                9800 Console                    1      6,556 K
taskhostw.exe                 9844 Console                    1     19,220 K
ARPProtection.exe             9936 Console                    1      2,728 K
PopBlock.exe                  9996 Console                    1     11,096 K
svchost.exe                   9264 Services                   0     22,608 K
svchost.exe                  10056 Services                   0     15,436 K
Memory Compression           10176 Services                   0    842,224 K
Lenovo.Modern.ImControlle    10452 Services                   0     46,776 K
explorer.exe                 10528 Console                    1    285,464 K
taskhostw.exe                10704 Console                    1     23,892 K
svchost.exe                  10752 Services                   0      5,796 K
svchost.exe                  10880 Services                   0     10,912 K
AggregatorHost.exe           10892 Services                   0      9,984 K
svchost.exe                  11196 Services                   0      9,052 K
LenovoTray.exe               11244 Console                    1     21,708 K
dllhost.exe                  11500 Services                   0     13,260 K
LenovoInternetSoftwareFra    11716 Console                    1     18,800 K
unsecapp.exe                 11760 Services                   0     12,284 K
crashpad_handler.exe         11944 Console                    1        560 K
Lsf.exe                      12184 Console                    1     15,172 K
ResScheduler.exe             13068 Console                    1     26,648 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,876 K
svchost.exe                  13088 Services                   0     13,096 K
FnHotkeyUtility.exe           5752 Console                    1     21,592 K
wsctrl10.exe                 13472 Services                   0      9,512 K
unsecapp.exe                 13824 Console                    1     10,224 K
svchost.exe                  14120 Console                    1     29,624 K
StartMenuExperienceHost.e    14264 Console                    1     69,528 K
SogouCloud.exe               14252 Console                    1     32,096 K
RuntimeBroker.exe            14352 Console                    1     31,836 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,044 K
SearchApp.exe                15280 Console                    1    221,744 K
RuntimeBroker.exe            13292 Console                    1     42,384 K
SGTool.exe                   12340 Console                    1     65,936 K
RuntimeBroker.exe            16652 Console                    1     31,800 K
TextInputHost.exe            16808 Console                    1     47,336 K
svchost.exe                  16744 Services                   0     13,124 K
RadeonSoftware.exe            5328 Console                    1     38,472 K
svchost.exe                  16880 Services                   0     14,920 K
CPUMetricsServer.exe          8312 Console                    1      4,552 K
RtkAudUService64.exe         17728 Console                    1     12,560 K
CCleanerPerformanceOptimi     5320 Services                   0     28,600 K
CCleaner64.exe               18344 Console                    1     58,928 K
GameViewer.exe                7504 Console                    1     72,616 K
crashpad_handler.exe          7096 Console                    1        564 K
CCXProcess.exe               17920 Console                    1      4,584 K
node.exe                     17700 Console                    1     45,408 K
conhost.exe                  17836 Console                    1      7,140 K
msedgewebview2.exe           19320 Console                    1    127,992 K
msedgewebview2.exe           19436 Console                    1     13,312 K
AdobeIPCBroker.exe           18232 Console                    1     11,344 K
Feishu.exe                   12480 Console                    1    155,112 K
msedgewebview2.exe           19528 Console                    1     58,132 K
msedgewebview2.exe           19536 Console                    1     37,068 K
Feishu.exe                   19580 Console                    1     20,332 K
msedgewebview2.exe           19716 Console                    1     20,932 K
msedgewebview2.exe           20120 Console                    1     45,140 K
Feishu.exe                   20812 Console                    1     14,312 K
Feishu.exe                   20884 Console                    1     38,096 K
svchost.exe                  20896 Services                   0      7,828 K
Feishu.exe                   20960 Console                    1     63,200 K
Feishu.exe                   21224 Console                    1     69,876 K
msedgewebview2.exe           13416 Console                    1     44,484 K
Feishu.exe                   21052 Console                    1     43,012 K
Feishu.exe                   18868 Console                    1     16,864 K
MuMuNxService.exe            20820 Console                    1     46,804 K
crashpad_handler.exe         21564 Console                    1        468 K
cncmd.exe                    22036 Console                    1      1,396 K
cmd.exe                      20692 Console                    1      2,804 K
conhost.exe                   9640 Console                    1      1,920 K
AMDRSServ.exe                19392 Console                    1     87,620 K
SOGOUSmartAssistant.exe      22964 Console                    1     26,804 K
SOGOUSmartAssistant.exe      21744 Console                    1     59,096 K
node.exe                     22300 Console                    1     42,060 K
conhost.exe                  18340 Console                    1      8,816 K
node.exe                     21912 Console                    1     71,124 K
conhost.exe                  16636 Console                    1      7,080 K
nano.exe                     18716 Console                    1     72,852 K
DesktopService64.exe          3888 Services                   0     14,572 K
DesktopMgr64.exe             11008 Console                    1      7,588 K
svchost.exe                  22200 Services                   0      7,316 K
DesktopAITaskCenter.exe       2376 Console                    1     21,196 K
QQPCExternal.exe              6504 Console                    1     72,008 K
QQPCExternal.exe              2820 Console                    1     23,100 K
QQPCExternal.exe              6632 Console                    1     28,128 K
QQPCExternal.exe              1304 Console                    1     26,420 K
AUEPDU.exe                   19144 Services                   0     12,304 K
svchost.exe                  21276 Services                   0     14,792 K
svchost.exe                  13108 Console                    1     22,912 K
svchost.exe                   1552 Services                   0     18,448 K
SecurityHealthService.exe    13220 Services                   0     13,536 K
AMDRSSrcExt.exe               8608 Console                    1     28,172 K
Doubao.exe                   20996 Console                    1    113,940 K
Doubao.exe                   17400 Console                    1     10,652 K
Doubao.exe                   22112 Console                    1     56,612 K
Doubao.exe                   17108 Console                    1     57,992 K
Doubao.exe                   14684 Console                    1     22,256 K
Doubao.exe                   13960 Console                    1     19,052 K
Doubao.exe                    2104 Console                    1     72,632 K
aha_doctor.exe               19280 Console                    1     30,292 K
Doubao.exe                   15264 Console                    1     22,652 K
Doubao.exe                    2956 Console                    1    144,704 K
CompPkgSrv.exe               14052 Console                    1      9,276 K
Doubao.exe                   15300 Console                    1     48,008 K
DynamicDependencyLifetime    11780 Console                    1      5,424 K
PushNotificationsLongRunn    16940 Console                    1     15,504 K
ApplicationFrameHost.exe     14768 Console                    1     59,212 K
HrAppStoreAppOM.exe          12284 Console                    1     32,924 K
taskhostw.exe                13348 Console                    1     29,760 K
EMDriverAssist.exe           13536 Console                    1     25,272 K
QQ.exe                       16344 Console                    1    135,540 K
crashpad_handler.exe         17168 Console                    1      1,844 K
QQ.exe                       16716 Console                    1     18,192 K
QQ.exe                       22256 Console                    1     35,176 K
QQ.exe                        2208 Console                    1    158,216 K
QQ.exe                        9292 Console                    1     21,212 K
QQ.exe                        1224 Console                    1     47,380 K
dllhost.exe                  10484 Console                    1      9,684 K
QQEX.exe                     12368 Console                    1     56,904 K
QQEX.exe                     14044 Console                    1     77,156 K
QQEX.exe                      5908 Console                    1     31,264 K
QQEX.exe                     18040 Console                    1     25,752 K
QQEX.exe                     22144 Console                    1     12,124 K
svchost.exe                   4964 Console                    1     10,356 K
ShellExperienceHost.exe      19760 Console                    1    113,720 K
RuntimeBroker.exe            11204 Console                    1     37,840 K
SystemSettingsBroker.exe     20152 Console                    1     34,720 K
wps.exe                       5268 Console                    1     38,292 K
promecefpluginhost.exe        5068 Console                    1     30,036 K
promecefpluginhost.exe        3536 Console                    1     22,352 K
wps.exe                      19688 Console                    1     71,944 K
clouddrive_desktop_widget    15732 Console                    1     20,264 K
chrome.exe                   17708 Console                    1     32,644 K
chrome.exe                   14220 Console                    1     10,468 K
chrome.exe                   21768 Console                    1     29,340 K
chrome.exe                   18136 Console                    1     50,024 K
chrome.exe                   14048 Console                    1     20,772 K
chrome.exe                   23824 Console                    1      1,056 K
chrome.exe                   22236 Console                    1    108,980 K
adb.exe                      22692 Console                    1     11,484 K
svchost.exe                  11520 Services                   0      7,768 K
Doubao.exe                   21592 Console                    1     62,004 K
chrome.exe                   10024 Console                    1     22,864 K
chrome.exe                   17884 Console                    1     31,904 K
