n,str_va,meas_w,meas_h,draw_w,draw_h,dw,dh,font,fallback,note
2,0x2A8364,72,18,0,0,0,0,"pending",0,flush_outs
3,0x2A8364,72,18,0,0,0,0,"pending",0,flush_outs
