run_id,metric,value
launcher_20260728_030118_61500,NODE_94E40_FUNCTION_IDENTIFIED,0
launcher_20260728_030118_61500,NODE_FIRST_CAUSAL_ZERO_FOUND,1
launcher_20260728_030118_61500,NODE_ALLOCATION_REQUEST_VALID,1
launcher_20260728_030118_61500,NODE_ALLOCATION_RETURN_VALID,1
launcher_20260728_030118_61500,EVENT_LIST_NODE_LINKED,0
launcher_20260728_030118_61500,EVENT_LIST_COUNT_CHANGED,0
launcher_20260728_030118_61500,fault_94e40,0
launcher_20260728_030118_61500,arg_class,none
launcher_20260728_030118_61500,first_zero_source,PLATFORM_ALLOCATOR
