seq,pc,addr,cfg_off,size,bytes_hex,dest_reg_hint,next_use,later_cmp,relation
1,0x94EA0,0x281029,0x355,1,01,0,LDRSH_via_SP+0x48,CMP_r0_#0_then_vs_0x1B2,CAUSAL_TO_0x2E5404
2,0x94EA0,0x28102A,0x356,1,00,0,LDRSH_via_SP+0x48,CMP_r0_#0_then_vs_0x1B2,CAUSAL_TO_0x2E5404
