source_file,needle,offset,context
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),15703,gwy/caclottery.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),15967,gwy/cacachmt.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),16231,gwy/cacprize.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),16495,gwy/cacddz.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),16759,gwy/wapgame.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),17023,gwy/cacxq.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),17287,gwy/cacermj.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),17551,gwy/cacsk.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),17815,gwy/cacxq.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),18079,gwy/cacusr.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),18347,gwy/wapgame.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),18611,gwy/wapgame.mrp
game_files/mythroad/320x480/gwy/gbrwcore.mrp::reg.ext,gbrwcore,664,........gbrwcore.ext........
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,runapp,140484,url.lib.runapp..FALSE...base64..get.%s&retcode=%d...%s?retcode
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,startGame,140248,t...lib.startGame...lib.exitbrw.lib.reportresult....lib.netpay..l
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,140456,o...lib.download....lib.loadurl.lib.runapp..FALSE...base64..get.
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,140603,cfg..C:/Download.%s%s%s..:/Download..C:/Download/....:/Download/
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,140622,%s%s..:/Download..C:/Download/....:/Download/.....>H..>III....dm
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,140635,oad..C:/Download/....:/Download/.....>H..>III....dmrp.wapproxy.s
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,140650,d/....:/Download/.....>H..>III....dmrp.wapproxy.sky-mobi.com..%s
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,142392,:...sky_download:........./.....>B..%s&nwid=%u&hsman=%s&hstype=%
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,145700,/cookie.download....http....download/dwnlist.dat....gbrw/...[2..
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,download,145720,http....download/dwnlist.dat....gbrw/...[2....../...........skys
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,isFileOnServerNewer,140376,ver.lib.isFileOnServerNewer.lib.getmrpver...lib.getFileVersion..lib.getClie
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,getFileVersion,140416,r...lib.getFileVersion..lib.getClientInfo...lib.download....lib.loadur
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,checkmrpver,140360,t...lib.checkmrpver.lib.isFileOnServerNewer.lib.getmrpver...lib.get
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,(ascii),140480,lib.runapp
game_files/mythroad/320x480/gwy/gbrwcore.mrp::gbrwcore.ext,(ascii),143605,.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,roomlist,162,....gwy/roomlist.mrp...............................Rgwy/embfrd.m
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,gbrwcore,1170,....gwy/gbrwcore.mrp................................gwy/gbrwshel
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,gbrwshell,1218,....gwy/gbrwshell.mrp..............................Qgwy/embcharge
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),13,Fgwy/property.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),61,1gwy/sge.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),110,gwy/sme.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),158,gwy/roomlist.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),205,Rgwy/embfrd.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),253,(gwy/embchat.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),302,gwy/currency.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),349,Ugwy/map.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),397,'gwy/mapquery.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),445,8gwy/dragonpic.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),493,8gwy/dgame1.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),541,3gwy/judge.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),589,3gwy/bazoo.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),638,gwy/sysset.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),685,]gwy/gamelobby.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),733, gwy/font.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),781,Qgwy/charge.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),830,gwy/wapgame.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),877,8gwy/dgame2.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),925,Rgwy/nets.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),973,Wgwy/mapview.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1021,^gwy/cellmap.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1069,[gwy/forum.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1117,Vgwy/browser.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1166,gwy/gbrwcore.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1214,gwy/gbrwshell.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1261,Qgwy/embcharge.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1310,gwy/cardcharge.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1358,gwy/caclobby.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1406,gwy/caccharge.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1454,gwy/cactask.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1502,gwy/cacchat.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1550,gwy/cacddzani.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1598,gwy/cacpublic.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1645,Igwy/cacddz.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1694,gwy/cacmsg.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1742,gwy/smscharge.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1790,gwy/comLottery.mrp
game_files/mythroad/320x480/gwy/gamelist.mrp::cfg.bin,(ascii),1838,gwy/csjaccount.mrp
