run_id,seq,boundary,pc,lr,sp,r9,cpsr,r0,r1,r2,r3,r4,r5,r6,r7,list_ctrl,list_head,list_count,entry,payload,req_size,last_plat,ret_or_target,stack0,stack1,stack2,stack3
launcher_20260728_030118_61500,41,2D99AC_HEAP_HELPER,0x2D99AC,0x30CD93,0x27FF68,0x2B1858,0x1F3,0xC8,0x0,0x22,0x28003C,0x0,0x1,0x2B2130,0x2B2030,0x0,0x0,0,0x0,0x1,0xC8,0x10132,0x0,0x0,0x0,0x0,0x2
launcher_20260728_030118_61500,43,2D99AC_HEAP_HELPER,0x2D99AE,0x30CD93,0x27FF54,0x2B1858,0x1F3,0xC8,0x0,0x22,0x28003C,0x0,0x1,0x2B2130,0x2B2030,0x0,0x0,0,0x0,0x1,0xC8,0x10132,0x0,0x0,0x1,0x2B2130,0x2B2030
launcher_20260728_030118_61500,47,INDIRECT_2D99AC,0x305E3A,0x30CDA3,0x27FF50,0x2B1858,0x1F3,0x5,0x1,0xCC,0x28003C,0x0,0x5,0x5,0x2B2030,0x0,0x0,0,0x1,0x5,0x5,0x10132,0x2D99AD,0x28003C,0x0,0x1,0x2B2130
launcher_20260728_030118_61500,48,2D99AC_HEAP_HELPER,0x2D99AC,0x305E3F,0x27FF50,0x2B1858,0x1F3,0x5,0x1,0xCC,0x28003C,0x0,0x5,0x5,0x2B2030,0x0,0x0,0,0x1,0x5,0x5,0x10132,0x0,0x28003C,0x0,0x1,0x2B2130
launcher_20260728_030118_61500,50,2D99AC_HEAP_HELPER,0x2D99AE,0x305E3F,0x27FF3C,0x2B1858,0x1F3,0x5,0x1,0xCC,0x28003C,0x0,0x5,0x5,0x2B2030,0x0,0x0,0,0x1,0x5,0x5,0x10132,0x0,0x0,0x5,0x5,0x2B2030
launcher_20260728_030118_61500,54,INDIRECT_2D99AC,0x30CDAA,0x305E55,0x27FF68,0x2B1858,0x1F3,0xC,0x2B2820,0x3,0x28003C,0x0,0x1,0x2B2130,0x2B2030,0x0,0x0,0,0x2B2820,0x1,0xC,0x10132,0x2D99AD,0x0,0x0,0x0,0x2
launcher_20260728_030118_61500,55,2D99AC_HEAP_HELPER,0x2D99AC,0x30CDAF,0x27FF68,0x2B1858,0x1F3,0xC,0x2B2820,0x3,0x28003C,0x0,0x1,0x2B2130,0x2B2030,0x0,0x0,0,0x2B2820,0x1,0xC,0x10132,0x0,0x0,0x0,0x0,0x2
launcher_20260728_030118_61500,57,2D99AC_HEAP_HELPER,0x2D99AE,0x30CDAF,0x27FF54,0x2B1858,0x1F3,0xC,0x2B2820,0x3,0x28003C,0x0,0x1,0x2B2130,0x2B2030,0x0,0x0,0,0x2B2820,0x1,0xC,0x10132,0x0,0x0,0x1,0x2B2130,0x2B2030
launcher_20260728_030118_61500,61,INDIRECT_2D99AC,0x30CF9C,0x304589,0x27FF68,0x2B1858,0x1F3,0xC,0x10,0x3E8,0x0,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x10,0x2B20B0,0xC,0x11F00,0x2D99AD,0x0,0x0,0x0,0x2
launcher_20260728_030118_61500,62,2D99AC_HEAP_HELPER,0x2D99AC,0x30CFA1,0x27FF68,0x2B1858,0x1F3,0xC,0x10,0x3E8,0x0,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x10,0x2B20B0,0xC,0x11F00,0x0,0x0,0x0,0x0,0x2
launcher_20260728_030118_61500,64,2D99AC_HEAP_HELPER,0x2D99AE,0x30CFA1,0x27FF54,0x2B1858,0x1F3,0xC,0x10,0x3E8,0x0,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x10,0x2B20B0,0xC,0x11F00,0x0,0x0,0x2B20B0,0x1,0x2B2030
launcher_20260728_030118_61500,69,INDIRECT_2D99AC,0x2D9682,0x2D9679,0x27FF48,0x2B1858,0x1F3,0xC,0x280040,0xA7800,0x58C00,0x0,0xB,0x313AF4,0x313AFC,0x0,0x0,0,0x280040,0xB,0xC,0x10138,0x2D99AD,0x27FF74,0x0,0xB,0x0
launcher_20260728_030118_61500,70,2D99AC_HEAP_HELPER,0x2D99AC,0x2D9687,0x27FF48,0x2B1858,0x1F3,0xC,0x280040,0xA7800,0x58C00,0x0,0xB,0x313AF4,0x313AFC,0x0,0x0,0,0x280040,0xB,0xC,0x10138,0x0,0x27FF74,0x0,0xB,0x0
launcher_20260728_030118_61500,72,2D99AC_HEAP_HELPER,0x2D99AE,0x2D9687,0x27FF34,0x2B1858,0x1F3,0xC,0x280040,0xA7800,0x58C00,0x0,0xB,0x313AF4,0x313AFC,0x0,0x0,0,0x280040,0xB,0xC,0x10138,0x0,0x0,0xB,0x313AF4,0x313AFC
launcher_20260728_030118_61500,77,INDIRECT_2D99AC,0x312AA8,0x30D09D,0x27FF60,0x2B1858,0x200001F3,0x8,0x0,0x959A0,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x0,0x2B20B0,0x8,0x10132,0x2D99AD,0x28003C,0x30D09D,0x27FF7C,0x27FF78
launcher_20260728_030118_61500,78,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF60,0x2B1858,0x200001F3,0x8,0x0,0x959A0,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x0,0x2B20B0,0x8,0x10132,0x0,0x28003C,0x30D09D,0x27FF7C,0x27FF78
launcher_20260728_030118_61500,80,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF4C,0x2B1858,0x200001F3,0x8,0x0,0x959A0,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x0,0x2B20B0,0x8,0x10132,0x0,0x0,0x2B20B0,0x1,0x2B2030
launcher_20260728_030118_61500,84,INDIRECT_2D99AC,0x312AA8,0x30D0A7,0x27FF60,0x2B1858,0x1F3,0x8,0x2B28B0,0xC,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x2B28B0,0x2B20B0,0x8,0x10132,0x2D99AD,0x28003C,0x30D0A7,0x27FF7C,0x27FF78
launcher_20260728_030118_61500,85,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF60,0x2B1858,0x1F3,0x8,0x2B28B0,0xC,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x2B28B0,0x2B20B0,0x8,0x10132,0x0,0x28003C,0x30D0A7,0x27FF7C,0x27FF78
launcher_20260728_030118_61500,87,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF4C,0x2B1858,0x1F3,0x8,0x2B28B0,0xC,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x0,0x0,0,0x2B28B0,0x2B20B0,0x8,0x10132,0x0,0x0,0x2B20B0,0x1,0x2B2030
launcher_20260728_030118_61500,91,INDIRECT_2D99AC,0x312AA8,0x2FE87D,0x27FF48,0x2B1858,0x200001F3,0x8,0x2B19B4,0xC,0x28003C,0x0,0x2B1869,0x2B23A8,0x2B2031,0x0,0x0,0,0x2B19B4,0x2B1869,0x8,0x10132,0x2D99AD,0x28003C,0x2FE87D,0x28003C,0x0
launcher_20260728_030118_61500,92,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x2B19B4,0xC,0x28003C,0x0,0x2B1869,0x2B23A8,0x2B2031,0x0,0x0,0,0x2B19B4,0x2B1869,0x8,0x10132,0x0,0x28003C,0x2FE87D,0x28003C,0x0
launcher_20260728_030118_61500,94,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x2B19B4,0xC,0x28003C,0x0,0x2B1869,0x2B23A8,0x2B2031,0x0,0x0,0,0x2B19B4,0x2B1869,0x8,0x10132,0x0,0x0,0x2B1869,0x2B23A8,0x2B2031
launcher_20260728_030118_61500,99,INDIRECT_2D99AC,0x312AA8,0x2FE897,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A1C,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x2D99AD,0x28003C,0x2FE897,0x28003C,0x0
launcher_20260728_030118_61500,100,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A1C,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x28003C,0x2FE897,0x28003C,0x0
launcher_20260728_030118_61500,102,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A1C,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x0,0x2B1869,0x2B2A1C,0x2B2031
launcher_20260728_030118_61500,106,INDIRECT_2D99AC,0x312AA8,0x2FE8A7,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A10,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x2D99AD,0x28003C,0x2FE8A7,0x28003C,0x0
launcher_20260728_030118_61500,107,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A10,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x28003C,0x2FE8A7,0x28003C,0x0
launcher_20260728_030118_61500,109,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A10,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x0,0x2B1869,0x2B2A10,0x2B2031
launcher_20260728_030118_61500,110,INDIRECT_2D99AC,0x312AA8,0x2FE8B7,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A14,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x2D99AD,0x28003C,0x2FE8B7,0x28003C,0x0
launcher_20260728_030118_61500,111,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A14,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x28003C,0x2FE8B7,0x28003C,0x0
launcher_20260728_030118_61500,112,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B2A14,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x0,0x2B1869,0x2B2A14,0x2B2031
launcher_20260728_030118_61500,113,INDIRECT_2D99AC,0x312AA8,0x2FE8CB,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B23AC,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x2D99AD,0x28003C,0x2FE8CB,0x28003C,0x0
launcher_20260728_030118_61500,114,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B23AC,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x28003C,0x2FE8CB,0x28003C,0x0
launcher_20260728_030118_61500,115,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B1869,0x2B23AC,0x2B2031,0x0,0x0,0,0x0,0x2B1869,0x8,0x10132,0x0,0x0,0x2B1869,0x2B23AC,0x2B2031
launcher_20260728_030118_61500,116,INDIRECT_2D99AC,0x312AA8,0x2FE8E5,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B23B0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23B0,0x8,0x10132,0x2D99AD,0x28003C,0x2FE8E5,0x28003C,0x0
launcher_20260728_030118_61500,117,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B23B0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23B0,0x8,0x10132,0x0,0x28003C,0x2FE8E5,0x28003C,0x0
launcher_20260728_030118_61500,118,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B23B0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23B0,0x8,0x10132,0x0,0x0,0x2B23B0,0x2B23AC,0x2B2031
launcher_20260728_030118_61500,119,INDIRECT_2D99AC,0x312AA8,0x2FE8FB,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B23D0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D0,0x8,0x10132,0x2D99AD,0x28003C,0x2FE8FB,0x28003C,0x0
launcher_20260728_030118_61500,120,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B23D0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D0,0x8,0x10132,0x0,0x28003C,0x2FE8FB,0x28003C,0x0
launcher_20260728_030118_61500,121,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x0,0x2B23D0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D0,0x8,0x10132,0x0,0x0,0x2B23D0,0x2B23AC,0x2B2031
launcher_20260728_030118_61500,122,INDIRECT_2D99AC,0x312AA8,0x2FE917,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B26AC,0x2B23D0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D0,0x8,0x10132,0x2D99AD,0x28003C,0x2FE917,0x28003C,0x0
launcher_20260728_030118_61500,123,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B26AC,0x2B23D0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D0,0x8,0x10132,0x0,0x28003C,0x2FE917,0x28003C,0x0
launcher_20260728_030118_61500,124,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B26AC,0x2B23D0,0x2B23AC,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D0,0x8,0x10132,0x0,0x2B26AC,0x2B23D0,0x2B23AC,0x2B2031
launcher_20260728_030118_61500,125,INDIRECT_2D99AC,0x312AA8,0x2FE927,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B26AC,0x2B23D8,0x0,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D8,0x8,0x10132,0x2D99AD,0x28003C,0x2FE927,0x28003C,0x0
launcher_20260728_030118_61500,126,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B26AC,0x2B23D8,0x0,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D8,0x8,0x10132,0x0,0x28003C,0x2FE927,0x28003C,0x0
launcher_20260728_030118_61500,127,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B26AC,0x2B23D8,0x0,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D8,0x8,0x10132,0x0,0x2B26AC,0x2B23D8,0x0,0x2B2031
launcher_20260728_030118_61500,128,INDIRECT_2D99AC,0x312AA8,0x2FE975,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B2BB0,0x2B23D8,0x0,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D8,0x8,0x10132,0x2D99AD,0x28003C,0x2FE975,0x28003C,0x0
launcher_20260728_030118_61500,129,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF48,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B2BB0,0x2B23D8,0x0,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D8,0x8,0x10132,0x0,0x28003C,0x2FE975,0x28003C,0x0
launcher_20260728_030118_61500,130,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF34,0x2B1858,0x200001F3,0x8,0x0,0xC,0x28003C,0x2B2BB0,0x2B23D8,0x0,0x2B2031,0x2A83C4,0x0,0,0x0,0x2B23D8,0x8,0x10132,0x0,0x2B2BB0,0x2B23D8,0x0,0x2B2031
launcher_20260728_030118_61500,131,INDIRECT_2D99AC,0x312AA8,0x30D0C3,0x27FF60,0x2B1858,0x200001F3,0x8,0x2B23D5,0xC,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x2A83C4,0x0,0,0x2B23D5,0x2B20B0,0x8,0x10132,0x2D99AD,0x28003C,0x30D0C3,0x27FF7C,0x27FF78
launcher_20260728_030118_61500,132,2D99AC_HEAP_HELPER,0x2D99AC,0x312AAD,0x27FF60,0x2B1858,0x200001F3,0x8,0x2B23D5,0xC,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x2A83C4,0x0,0,0x2B23D5,0x2B20B0,0x8,0x10132,0x0,0x28003C,0x30D0C3,0x27FF7C,0x27FF78
launcher_20260728_030118_61500,133,2D99AC_HEAP_HELPER,0x2D99AE,0x312AAD,0x27FF4C,0x2B1858,0x200001F3,0x8,0x2B23D5,0xC,0x28003C,0x0,0x2B20B0,0x1,0x2B2030,0x2A83C4,0x0,0,0x2B23D5,0x2B20B0,0x8,0x10132,0x0,0x0,0x2B20B0,0x1,0x2B2030
launcher_20260728_030118_61500,134,30D2F9_ENTER,0x30D2FA,0x80000,0x27FF98,0x2B1858,0x1F3,0x6AD11C,0x69EF14,0x0,0x0,0x1E209,0x9,0x0,0x280058,0x2A83C4,0x0,0,0x69EF14,0x9,0x0,0x1E209,0x0,0x0,0x80000,0x6AD11C,0x30D2F9
launcher_20260728_030118_61500,135,PLAT_101AB,0x0,0x304589,0x27FF48,0x2B1858,0x1D3,0x101AB,0x6AD11C,0x27FF80,0x2,0x101AB,0x6AD11C,0x27FF80,0x280058,0x2A83C4,0x0,0,0x6AD11C,0x6AD11C,0x0,0x101AB,0x0,0x0,0x0,0x0,0x2
launcher_20260728_030118_61500,136,2E4D6C_ENTER,0x2E4D6C,0x30D2DD,0x27FF70,0x2B1858,0x1F3,0x6AD121,0xE,0x0,0x30D2D3,0x6AD11C,0x1,0x69EF14,0x27FF7C,0x2A83C4,0x0,0,0xE,0x1,0x0,0x101AB,0x0,0x0,0x0,0x0,0xE
