run_id,iter,pc,cpsr,r0,r1,r2,r3,r4,r5,r9,sp,lr,q,nested,cb,cons,helper
task13_C2_211334,1,0x30A100,0x200001F3,0x6BBB10,0x0,0x10,0x28003C,0x2B23B8,0xB,0x2B1858,0x27FF20,0x2D9AD3,1,0,2,1,1
task13_C2_211334,2,0x30A100,0x800001F3,0x6BBB10,0x1,0x7,0x28003C,0x2B23B8,0xB,0x2B1858,0x27FF20,0x2D9AD3,1,0,2,1,1
task13_C2_211334,3,0x30A100,0x800001F3,0x6BBB10,0x2,0x8,0x28003C,0x2B23B8,0xB,0x2B1858,0x27FF20,0x2D9AD3,1,0,2,1,1
