run_id,call_id,base,state,cursor_idx,remain_hint,r5,len_ea,raw_be16,returned,bad,class
task14_C4_221233,1,0x6BBAB8,0x2B23B8,0x4,0x1F,0xB,0x6BBABC,0xB,1,0,GOOD
task14_C4_221233,2,0x6BBAB8,0x2B23B8,0x11,0x1F,0x0,0x0,0x0,0,0,PEND
