run_id,seq,caller_pc,target,lr,r0_in,r0_out,note
1784719272347,1,0x2E309A,0x2D4756,0x2E309E,0x682B6C,6826860,blx
1784719272347,2,0x2E30C0,0x2DB045,0x2E30C4,0x682B24,0,bl
1784719272347,3,0x2DB058,0x94F04,0x2DB05A,0x683580,6829440,blx
1784719272347,4,0x2DB06E,0x2E236D,0x2DB072,0x1,0,bl
1784719272347,5,0x2E239A,0x280058,0x2E239C,0x1,0,blx
1784719272347,6,0x2DB0EA,0x81238,0x2DB0EC,0x0,9999,blx
1784719272347,7,0x2E30C4,0x2E2529,0x2E30C8,0x270D,0,bl
1784719272347,8,0x2E252E,0x2E1BBD,0x2E2532,0x270D,0,bl
1784719272347,9,0x2E1BE6,0x94F04,0x2E1BE8,0x683220,6828576,blx
1784719272347,10,0x2E1BF4,0x94F04,0x2E1BF6,0x682FC8,6827976,blx
1784719272347,11,0x2E1C00,0x94F04,0x2E1C02,0x682F3C,6827836,blx
1784719272347,12,0x2E1C28,0x2E33AD,0x2E1C2C,0xFFFFFFFF,0,bl
1784719272347,13,0x2E33B0,0x2E2FED,0x2E33B4,0x20,0,bl
1784719272347,14,0x2E300A,0x80160,0x2E300C,0x24,2786140,blx
1784719272347,15,0x2E1C5A,0x94F04,0x2E1C5C,0x6831F4,6828532,blx
1784719272347,16,0x2E1C66,0x94F04,0x2E1C68,0x682F30,6827824,blx
1784719272347,17,0x2E1C6C,0x2E33AD,0x2E1C70,0x682F30,0,bl
1784719272347,18,0x2E33B0,0x2E2FED,0x2E33B4,0x20,0,bl
1784719272347,19,0x2E300A,0x80160,0x2E300C,0x24,2786180,blx
1784719272347,20,0x2E2532,0x2DF329,0x2E2536,0x2A8388,0,bl
1784719272347,21,0x2DF338,0x2E24AD,0x2DF33C,0x27FA4C,0,bl
1784719272347,22,0x2E24BA,0x80320,0x2E24BC,0x27FA4C,0,blx
1784719272347,23,0x2DF348,0x2E7D75,0x2DF34C,0x140,2632276,bl
1784719272347,24,0x2E2536,0x2E75F1,0x2E253A,0x140,0,bl
1784719272347,25,0x2E7604,0x94F04,0x2E7606,0x682C4C,6827084,blx
1784719272347,26,0x2E7606,0x2E33AD,0x2E760A,0x682C4C,0,bl
1784719272347,27,0x2E33B0,0x2E2FED,0x2E33B4,0x20,0,bl
1784719272347,28,0x2E300A,0x80160,0x2E300C,0x24,2786220,blx
1784719272347,29,0x2E7620,0x2E236D,0x2E7624,0x10180,0,bl
1784719272347,30,0x2E239A,0x280058,0x2E239C,0x10180,6829476,blx
1784719272347,31,0x2E255A,0x2DF265,0x2E255E,0x6833F8,0,bl
1784719272347,32,0x2DF278,0x94F04,0x2DF27A,0x6833F8,6829048,blx
1784719272347,33,0x2DF28E,0x2E236D,0x2DF292,0x1010C,0,bl
1784719272347,34,0x2E239A,0x280058,0x2E239C,0x1010C,6890924,blx
1784719272347,35,0x2E2574,0x2E236D,0x2E2578,0x10120,0,bl
1784719272347,36,0x2E239A,0x280058,0x2E239C,0x10120,1,blx
1784719272347,37,0x2E2594,0x2E236D,0x2E2598,0x10102,0,bl
1784719272347,38,0x2E239A,0x280058,0x2E239C,0x10102,1,blx
