run_id,n,event,app,r0,r1,r2,r3,r4,r5,r6,r7,stack0,stack1,caller_pc,caller_lr,insn,ctx,er_digest,ctx_digest,identity
launcher_20260728_092738_41406,1,0x1E209,0x9,0x1E209,0x9,0x0,0x0,0x1E209,0x9,0x0,0x280058,0x0,0x0,0x304589,0x304589,1,0x690CF4,0x3936FBA1,0xDFDE6AC5,0xF0E191FA987605A7
launcher_20260728_092738_41406,2,0x1E209,0x3,0x1E209,0x3,0x0,0x0,0x1E209,0x3,0x0,0x280058,0x0,0x0,0x304589,0x304589,2,0x690CF4,0x8E37EE95,0xDFDE6AC5,0x3D81D909D5A6A9E9
launcher_20260728_092738_41406,3,0x1E201,0x3,0x1E201,0x3,0x0,0x0,0x1E201,0x3,0x0,0x280058,0x0,0x0,0x304589,0x304589,3,0x690CF4,0xE65EB885,0xDFDE6AC5,0x4182586102A9C071
launcher_20260728_092738_41406,4,0x1E201,0x9,0x1E201,0x9,0x3,0x0,0x1E201,0x9,0x3,0x280058,0x0,0x0,0x304589,0x304589,4,0x690CF4,0xE65EB885,0xDFDE6AC5,0x99721E40061E2972
launcher_20260728_092738_41406,5,0x1E201,0x6,0x1E201,0x6,0x0,0x0,0x1E201,0x6,0x0,0x280058,0x0,0x0,0x304589,0x304589,5,0x690CF4,0xE65EB885,0xDFDE6AC5,0x777379D8FE456CA6
launcher_20260728_092738_41406,6,0x1E201,0x5,0x1E201,0x5,0x0,0x0,0x1E201,0x5,0x0,0x280058,0x0,0x0,0x304589,0x304589,6,0x690CF4,0xE65EB885,0xDFDE6AC5,0xCE89F95A83F11F83
launcher_20260728_092738_41406,7,0x1E201,0x8,0x1E201,0x8,0x0,0x0,0x1E201,0x8,0x0,0x280058,0x0,0x0,0x304589,0x304589,7,0x690CF4,0xE65EB885,0xDFDE6AC5,0xBE91F832F49FA970
launcher_20260728_092738_41406,8,0x1E209,0x2,0x1E209,0x2,0x0,0x0,0x1E209,0x2,0x0,0x280058,0x0,0x0,0x304589,0x304589,8,0x690CF4,0xE65EB885,0xDFDE6AC5,0xDD2C90DB669B5B22
