run_id,t_sec,gate,value,pc,off,r0,r1,r2,r9,item_va,callback_va,note
1785510237698,5.124,G1_STACK_DEPTH2,1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,"depth>=2_while_gamelist_active"
1785510237698,5.136,G2_LAUNCH_PARAM,1,0x0,0x0,0x2829FC,0x0,0x0,0x0,0x0,0x0,"START_DSM_PARAM_ABI_CONFIRMED"
1785510237698,25.009,G7_DESC_BUILDER,1,0x2E7D74,0x13A34,0x140,0x0,0x0,0x2B0D18,0x0,0x0,"DESCRIPTOR_BUILDER_ENTER"
