n,tick,pc,lr,name,natural_ok,bridge_used,note
1,1,0x304BF0,0x2D93D1,"loadingbar!201!29.bmp",0,0,enter_304BF0
1,1,0x304BF0,0x2D93D1,"loadingbar!201!29.bmp",1,0,postmatch_complete
