run_id,writer_pc,old_r5,new_r5,len_ea,raw_be16,cursor_idx,base,step,note
task13_C2_211334,0x30A0EA,0x0,0xB,0x6BBABC,0xB,0x4,0x6BBAB8,75,be16_length
task13_C2_211334,0x30A0FA,0x10,0xB,0x6BBABC,0xB,0x4,0x6BBAB8,148,reg_change
