run_id,n,pc,r0,r1,r2,r3,r4,r9,sp,lr,cpsr,ui_mode,stack0,stack1,request_id
ffp_validate_20260724_033705_36171,1,0x305E08,0x1E209,0x0,0x30D2F9,0xE7C,0x1E209,0x2B1854,0x27FFD8,0x30E1A5,0x1F3,0x0,0x0,0xE,1
ffp_validate_20260724_033705_36171,2,0x305E08,0x1E209,0x0,0x30D2F9,0xE7C,0x1E209,0x2B1854,0x27FFD0,0x30E1A5,0x1F3,0x0,0x0,0xE,2
ffp_validate_20260724_033705_36171,3,0x305E08,0x1E209,0x0,0x30D2F9,0xE7C,0x1E209,0x2B1854,0x27FFC8,0x30E1A5,0x1F3,0x0,0x0,0xE,3
ffp_validate_20260724_033705_36171,4,0x305E08,0x1E209,0x0,0x30D2F9,0xE7C,0x1E209,0x2B1854,0x27FFC0,0x30E1A5,0x1F3,0x0,0x0,0xE,4
ffp_validate_20260724_033705_36171,5,0x305E08,0x1E209,0x0,0x30D2F9,0xE7C,0x1E209,0x2B1854,0x27FFB8,0x30E1A5,0x1F3,0x0,0x0,0xE,5
ffp_validate_20260724_033705_36171,6,0x305E08,0x1E209,0x0,0x30D2F9,0xE7C,0x1E209,0x2B1854,0x27FFB0,0x30E1A5,0x1F3,0x0,0x0,0xE,6
ffp_validate_20260724_033705_36171,7,0x305E08,0x1E209,0x0,0x30D2F9,0xE7C,0x1E209,0x2B1854,0x27FFA8,0x30E1A5,0x1F3,0x0,0x0,0xE,7
