case,method0_ret,armed,saw_2e3fba_neg,apply,skip_entry,fail_needle,note
A_launch12,,0,0,O,0,,"napptype=12 path; entry optional"
B_case1_35F,,1,1,P,1,bapptype,"napptype=1 n* + int32@0x35F=1"
