n,tick,pc,lr,r0,r1,r2,r3,note
1,1,0x2F2174,0x2EFB67,0x3C,0x100,0x2A83B4,0x8,2F2174_layout
2,1,0x2EFBA2,0xFFE7917B,0x314338,0xFFE7917B,0x105,0xFF,305BFC
3,1,0x305BFC,0x2EFBA7,0x314338,0xFFE7917B,0x105,0xFF,305BFC
4,1,0x2EFBA6,0x304589,0x0,0x2A8488,0x0,0x0,305BFC_ret
