"group","rep","hold_s","resume_mode","layer1_pass","layer1_fail_reasons","layer1_sha256","non_black_pct","drawfp","resource_count","resource_6th","members","alive_at_end","p3_fault","fault_1e205","low_mem_map","hit_2e2520","bcs_default","main_exe_sha256","cell_dir"
"P12_lowmem","1","180","direct_lr","PASS","","c789a1293e19f663074b70cd31191c9a98a07cb851bd7b262e76857f844bffda","7.08","YES","5","NO","loadingbar!201!29.bmp|bar!16!18.bmp|textbar!120!30.bmp|topleft!15!5.bmp|topright!12!4.bmp","YES","NO","YES","YES","YES","YES","22aee91d0cc91fd6d7eec19a92ef3f4fac24b10bc5e04b621e8cb2516f776706","C:\Users\Administrator\Desktop\jjfb_pc_vmrp_bootkit\out\p12_lowmem_ab\r1_20260730_010526"
"P12_lowmem","2","180","direct_lr","PASS","","c789a1293e19f663074b70cd31191c9a98a07cb851bd7b262e76857f844bffda","7.08","YES","5","NO","loadingbar!201!29.bmp|bar!16!18.bmp|textbar!120!30.bmp|topleft!15!5.bmp|topright!12!4.bmp","YES","NO","YES","YES","YES","YES","22aee91d0cc91fd6d7eec19a92ef3f4fac24b10bc5e04b621e8cb2516f776706","C:\Users\Administrator\Desktop\jjfb_pc_vmrp_bootkit\out\p12_lowmem_ab\r2_20260730_010830"
