run_id,seq,plat_code,guest_ptr,size,handler,owner_store,w0,w1,w2,w3,w4,w5,w6,w7
ffp_validate_20260724_024141_66224,1,0x10162,0x682AEC,0xE200,0x30D249,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ffp_validate_20260724_024141_66224,2,0x10165,0x690CF4,0xE200,0x30D2F9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ffp_validate_20260724_024141_66224,3,0x10162,0x69EF14,0xE200,0x30D249,0x2B2158,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ffp_validate_20260724_024141_66224,4,0x10165,0x6AD11C,0xE200,0x30D2F9,0x2B215C,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
