name,offset,stored_size,decoded_size,encoding,reserved,extension,width,height,format,bpp,sha256,first_32_hex,decoder_status,kind,ui_hint,fits_240x320
wy_xian0!15!6.bmp,10176,42,180,gzip,0,bmp,15,6,raw_rgb565,16,e581348ffc815e467b5314bdfc9bb887dc3ae02ded019975403af80037572899,000000000000000000000000000000000000000000000000000000000000359f,ok,small_sprite,True,True
wy_jiao0!10!10.bmp,10245,89,200,gzip,0,bmp,10,10,raw_rgb565,16,de492a542e5aec02cee34d3508c0c728c09d5404ed24007211f44d74f90a0f64,1ff81ff8000000000000000000000000000000001ff80000359f359f359f359f,ok,sprite_button,True,True
wy_xian3!15!5.bmp,10360,36,150,gzip,0,bmp,15,5,raw_rgb565,16,872cd8cab86510eb19b578fec2ffa07af1792940c95835644cb59618bb73ce92,2001200120012001200120012001200120012001200120012001200120016efe,ok,small_sprite,True,True
wy_jiao32!10!10.bmp,10424,48,200,gzip,0,bmp,10,10,raw_rgb565,16,d0fa471ca30cf10edf1c18b0af25868b411870380e06d90499c9151532580361,20016efe808c808c808cc07b206b206b206b206b20016efe808c808c808cc07b,ok,sprite_button,True,True
jiao41!12!12.bmp,10497,90,288,gzip,0,bmp,12,12,raw_rgb565,16,77d895f0cc9fa2a9ce2f46c90269ca7e5dc7088280102b747fe850d8c291ae78,1ff81ff81ff81ff81ff8206a206a206a206a206a206a206a1ff81ff81ff81ff8,ok,sprite_button,True,True
jiantou_x!12!10.bmp,10615,45,240,gzip,0,bmp,12,10,raw_rgb565,16,2983645fa9322a3339df218d9ffe615aac39c764f5caf6ab60889139f026b609,0000c942359f651265124309430965126512359fc94200000000c942359f6512,ok,small_sprite,False,True
slogo!157!58.bmp,10685,11897,18212,gzip,0,bmp,157,58,raw_rgb565,16,919d94d541ad0863fd1e7b630475401cde0097801ccdc8a516ef48cb84773fa9,20004108610861088210a210e31804212421452965298631a631a631c739c739,ok,background_or_title,True,True
bigworldmapmodule.ext,22612,8741,17360,gzip,0,ext,,,unknown,,baf01ab991598919473c35dc2e96c4574b10d62bf3c166c976a0437eda0ea3de,4d525047434d415010402de90040a0e10400a0e1170700fa1080bde878470000,ok,background_or_title,True,False
mainmenumodule.ext,31380,15300,28712,gzip,0,ext,,,unknown,,ecad68139c8f94b379a8c88c7facf42da5b6778ea50cd5e8a99718a3b769b4cd,4d525047434d415010402de90040a0e10400a0e1191400fa1080bde878470000,ok,background_or_title,True,False
mailmodule.ext,46703,14778,27692,gzip,0,ext,,,unknown,,faad4e9f796c26658e8d7a3a97b5f38f3161b202e264499bb4dec3bb9cb1b640,4d525047434d415010402de90040a0e10400a0e18c1400fa1080bde878470000,ok,blob,False,False
moduletest.ext,61504,7200,15152,gzip,0,ext,,,unknown,,120fdea40196e29b9cbfb355ba460ac568c3d26e3f008da6ad7b838975bc7e92,4d525047434d415010402de90040a0e10400a0e14d0a00fa1080bde808009fe5,ok,blob,False,False
chatmodule.ext,68727,8857,15228,gzip,0,ext,,,unknown,,b1f7f8bc1846f164e7b7273931806118505086e20aedb29aab18714cbe455401,4d525047434d415010402de90040a0e10400a0e1270b00fa1080bde878470000,ok,blob,False,False
gezimodule.ext,77607,4261,7356,gzip,0,ext,,,unknown,,59d39d323fe634f0aeb65076672fe501a557c473a86f02f3ad7aa69f2525d490,4d525047434d415010402de90040a0e10400a0e12b0400fa1080bde808009fe5,ok,blob,False,False
taobaomodule.ext,81893,9352,16504,gzip,0,ext,,,unknown,,175a7268ae625ed9473b980ff59369159e6f1147fbb21df19fba4ac41c0a705b,4d525047434d415010402de90040a0e10400a0e1fa0a00fa1080bde878470000,ok,blob,False,False
gameattackmodule.ext,91274,26089,47368,gzip,0,ext,,,unknown,,6f3afe7462a83168142f205a83da9fb22057c930c10feef8a652953d29f43b18,4d525047434d415010402de90040a0e10400a0e1671f00fa1080bde878470000,ok,blob,False,False
monsterstatemodule.ext,117394,10663,18712,gzip,0,ext,,,unknown,,39e73ba119de641eee0ea2b738b26ef297d784ecad4137ceba9784403901e5fb,4d525047434d415010402de90040a0e10400a0e1e30d00fa1080bde878470000,ok,blob,False,False
itembagshopmodule.ext,128087,20439,43420,gzip,0,ext,,,unknown,,de9a51caaf5fa084fae2bbf45579c3a3cbcdf5fad3f0032b59fa8fec8dd06887,4d525047434d415010402de90040a0e10400a0e1682100fa1080bde878470000,ok,blob,False,False
viewmanmodule.ext,148552,10976,19436,gzip,0,ext,,,unknown,,9cc25245d323d87f3f9de9a3a091e3eb127ea940030ce7c1e72a8e91bed6897c,4d525047434d415010402de90040a0e10400a0e1700c00fa1080bde878470000,ok,blob,False,False
betmodule.ext,159550,8327,14512,gzip,0,ext,,,unknown,,2bd3cee91fb99173522b6c83f33cdd1b885fb349874bfa0f8a4ce7b3e2bcb60e,4d525047434d415010402de90040a0e10400a0e1720a00fa1080bde878470000,ok,blob,False,False
monstermodule.ext,167903,8870,19256,gzip,0,ext,,,unknown,,071e0a52f716500cac606c35d673c9fb6caead2e535f2cf2feb5aeb0415891ab,4d525047434d415010402de90040a0e10400a0e12d0e00fa1080bde808009fe5,ok,blob,False,False
leitaimodule.ext,176798,11387,21248,gzip,0,ext,,,unknown,,b0a9ac472cc958acf06ecb6a55a6a6dc59942d2943a45d5918ee1e6f1c9c2885,4d525047434d415010402de90040a0e10400a0e1c51000fa1080bde878470000,ok,blob,False,False
reg.ext,188201,1381,2472,gzip,0,ext,,,unknown,,6aa5e6be29634f0ecddd27a142ff9a55f922a9e51f06b0ef2bf029995c02fb9d,4d525047434d415010402de90040a0e10400a0e12b0000fa1080bde808009fe5,ok,blob,False,False
lianmengmodule.ext,189609,17529,36216,gzip,0,ext,,,unknown,,3129f23b7b1038ab09a8017805ec662fbab9ae05fa65bcc0ccb8e2efa6ead93b,4d525047434d415010402de90040a0e10400a0e1481c00fa1080bde878470000,ok,blob,False,False
othermodule.ext,207162,24412,46708,gzip,0,ext,,,unknown,,060159526b5a84d11e7eaa9cb2b9c030d40319dd0b812bd0edacc0e280f15d70,4d525047434d415010402de90040a0e10400a0e10c2400fa1080bde878470000,ok,blob,False,False
robotol.ext,231594,161178,253420,gzip,0,ext,,,unknown,,55f66f1cca810ae7febe31af7e2dba8d00e6296a31aa7613f4aaf9ce5bb2fe82,4d525047434d415010402de90040a0e10400a0e15cab00fa1080bde878470000,ok,blob,False,False
shopmodule.ext,392795,8820,14836,gzip,0,ext,,,unknown,,96736090d5f8b987df218dfbfe0e8f00f35c13f440b281ad3f468fb979409b9c,4d525047434d415010402de90040a0e10400a0e1590a00fa1080bde878470000,ok,blob,False,False
itemhechengmodule.ext,401645,12957,25136,gzip,0,ext,,,unknown,,fa4ffb041f016c82ac21745ea35e1e00bb93a218e0ca625f85b2b5c7e9504a06,4d525047434d415010402de90040a0e10400a0e1ce1200fa1080bde878470000,ok,blob,False,False
