run_id,seq,pc,list,head,count,item,event
ffp_validate_20260724_040748_40125,12,0x305EB8,0x2829D4,0x2A838C,2,0x0,DRAIN_TRIGGER_ENTER
ffp_validate_20260724_040748_40125,14,0x305EBA,0x2829D4,0x2A838C,2,0x0,DRAIN_TRIGGER_ENTER
ffp_validate_20260724_040748_40125,16,0x312AC4,0x0,0x0,0,0x0,LIST_COUNT_READ
ffp_validate_20260724_040748_40125,17,0x312AC6,0x0,0x0,0,0x0,LIST_COUNT_READ
ffp_validate_20260724_040748_40125,18,0x2DC80C,0x2829D4,0x2A838C,2,0x0,DRAIN_CONSUMER_ENTER
ffp_validate_20260724_040748_40125,20,0x2DC80E,0x2829D4,0x2A838C,2,0x0,DRAIN_CONSUMER_ENTER
ffp_validate_20260724_040748_40125,22,0x312AC4,0x2829D4,0x2A838C,2,0x0,LIST_COUNT_READ
ffp_validate_20260724_040748_40125,23,0x312AC6,0x2829D4,0x2A838C,2,0x0,LIST_COUNT_READ
ffp_validate_20260724_040748_40125,24,0x312AB4,0x2B23A8,0x2829D4,0,0x70726D2E,GET_ITEM
ffp_validate_20260724_040748_40125,25,0x312AB6,0x2B23A8,0x2829D4,0,0x70726D2E,GET_ITEM
ffp_validate_20260724_040748_40125,26,0x312C0C,0x2A8374,0x0,2786148,0x0,POP_ENTER
ffp_validate_20260724_040748_40125,28,0x312C0E,0x2A8374,0x0,2786148,0x0,POP_ENTER
ffp_validate_20260724_040748_40125,30,0x312AB4,0x2A8374,0x0,0,0x70726D2E,GET_ITEM
ffp_validate_20260724_040748_40125,31,0x312AB6,0x2A8374,0x0,0,0x70726D2E,GET_ITEM
ffp_validate_20260724_040748_40125,32,0x312C0C,0x2A83C4,0x0,2786212,0x0,POP_ENTER
ffp_validate_20260724_040748_40125,34,0x312C0E,0x2A83C4,0x0,2786212,0x0,POP_ENTER
