case,ret0,fail_pc,apply_int16,insn_count,api_count,elapsed,note
A,-1,0x2E5404,none,5283,0,95.9,GPT+gwy only; pred_a BLE taken value=0
B,-1,0x2E3FBA,method0_enter:0x355=1,5732,0,72.5,gate passed; BL 0x2E5410 arg0=2; next fail 0x2E3FBA
