run_id,seq,pc,addr,cfg_off,size,bytes_hex,interpretation,dest_hint,later_cmp,expected,failure_branch,causal_status
1784738290521,59,0x94EA0,0x28107E,0x3AA,1,6E,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,60,0x94EA0,0x28107F,0x3AB,1,61,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,61,0x94EA0,0x281080,0x3AC,1,6D,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,62,0x94EA0,0x281081,0x3AD,1,65,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,63,0x94EA0,0x281082,0x3AE,1,3D,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,64,0x94EA0,0x281083,0x3AF,1,67,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,65,0x94EA0,0x281084,0x3B0,1,77,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,66,0x94EA0,0x281085,0x3B1,1,79,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,67,0x94EA0,0x281086,0x3B2,1,2F,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,68,0x94EA0,0x281087,0x3B3,1,6A,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,69,0x94EA0,0x281088,0x3B4,1,6A,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,70,0x94EA0,0x281089,0x3B5,1,66,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,71,0x94EA0,0x28108A,0x3B6,1,62,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,72,0x94EA0,0x28108B,0x3B7,1,2E,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,73,0x94EA0,0x28108C,0x3B8,1,6D,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,74,0x94EA0,0x28108D,0x3B9,1,72,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,75,0x94EA0,0x28108E,0x3BA,1,70,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,76,0x94EA0,0x28108F,0x3BB,1,5F,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,77,0x94EA0,0x281090,0x3BC,1,67,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,78,0x94EA0,0x281091,0x3BD,1,77,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,79,0x94EA0,0x281092,0x3BE,1,79,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,80,0x94EA0,0x281093,0x3BF,1,62,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,81,0x94EA0,0x281094,0x3C0,1,6C,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,82,0x94EA0,0x281095,0x3C1,1,69,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,83,0x94EA0,0x281096,0x3C2,1,6E,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,84,0x94EA0,0x281097,0x3C3,1,6B,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,85,0x94EA0,0x281098,0x3C4,1,5F,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,86,0x94EA0,0x281099,0x3C5,1,62,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,87,0x94EA0,0x28109A,0x3C6,1,61,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,88,0x94EA0,0x28109B,0x3C7,1,70,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,89,0x94EA0,0x28109C,0x3C8,1,70,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,90,0x94EA0,0x28109D,0x3C9,1,74,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,91,0x94EA0,0x28109E,0x3CA,1,79,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,92,0x94EA0,0x28109F,0x3CB,1,70,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,93,0x94EA0,0x2810A0,0x3CC,1,65,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,94,0x94EA0,0x2810A1,0x3CD,1,3D,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,95,0x94EA0,0x2810A2,0x3CE,1,31,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,96,0x94EA0,0x2810A3,0x3CF,1,32,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,97,0x94EA0,0x2810A4,0x3D0,1,5F,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,98,0x94EA0,0x2810A5,0x3D1,1,62,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,99,0x94EA0,0x2810A6,0x3D2,1,65,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,100,0x94EA0,0x2810A7,0x3D3,1,78,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,101,0x94EA0,0x2810A8,0x3D4,1,74,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,102,0x94EA0,0x2810A9,0x3D5,1,69,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,103,0x94EA0,0x2810AA,0x3D6,1,64,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,104,0x94EA0,0x2810AB,0x3D7,1,3D,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,105,0x94EA0,0x2810AC,0x3D8,1,34,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,106,0x94EA0,0x2810AD,0x3D9,1,38,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,107,0x94EA0,0x2810AE,0x3DA,1,32,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,108,0x94EA0,0x2810AF,0x3DB,1,5F,POST_RANGE_READ,,,,,COPY_ONLY
1784738290521,109,0x94EA0,0x2810B0,0x3DC,1,62,POST_RANGE_READ,,,,,COPY_ONLY
