n,tick,req_va,idx_va,req_ascii,idx_ascii,req_hex,idx_hex,req_len,idx_len,first_mismatch,host_strcmp,shim,cause
1,1,0x2A8364,0x2A83E0,"loadingbar!201!29.bmp","start.mr",6c6f6164696e67626172213230312132392e626d70,73746172742e6d72,21,8,0,-1,1,CASE_OR_ENCODING_MISMATCH
2,1,0x2A8364,0x2A83E0,"loadingbar!201!29.bmp","mrc_loader.ext",6c6f6164696e67626172213230312132392e626d70,6d72635f6c6f616465722e657874,21,14,0,-1,1,CASE_OR_ENCODING_MISMATCH
3,1,0x2A8364,0x2A83E0,"loadingbar!201!29.bmp","jiantou_t!12!10.bmp",6c6f6164696e67626172213230312132392e626d70,6a69616e746f755f742131322131302e626d70,21,19,0,1,1,CASE_OR_ENCODING_MISMATCH
4,1,0x2A8364,0x2A83E0,"loadingbar!201!29.bmp","loadingbar!201!29.bmp",6c6f6164696e67626172213230312132392e626d70,6c6f6164696e67626172213230312132392e626d70,21,21,-1,0,1,OK_HOST_STRCMP
