n,tick,pc,lr,off,old,new,note
1,1,0x2FC444,0x2D9AD3,0xBD0,0x0,0x2A8364,2FC444_str_BA0_plus30
2,1,0x2FC444,0x80000,0xBD0,0x0,0x2A8364,initcall_result
3,1,0x0,0x0,0xBD0,0x2A8364,0x2A8364,before_seed
