run_id,call_id,r0,matched_oid,word0,word4,word8,wordc,lr,r1,wrapper_guess,classification
launcher_20260724_224902_82890,1,0x2A8374,4,0x0,0x2A8364,0x3,0x12,0x2DC8D9,0x0,0,framing_entry
launcher_20260724_224902_82890,2,0x2A83C4,7,0x0,0x2A83A4,0xFFFFFFFD,0x6D466468,0x2DC8D9,0x1,0,framing_entry
