n,tick,pc,lr,off,old,new,note
1,1,0x0,0x0,0x818,0x0,0x0,before_seed
2,1,0x0,0x0,0x81C,0x0,0x0,before_seed
3,1,0x0,0x0,0x818,0x0,0xF0,assist_seed_818_w
4,1,0x0,0x0,0x81C,0x0,0x140,assist_seed_81C_h
5,1,0x0,0x0,0x818,0xF0,0xF0,before_seed
6,1,0x0,0x0,0x81C,0x140,0x140,before_seed
7,1,0x0,0x0,0x818,0xF0,0xF0,before_seed
8,1,0x0,0x0,0x81C,0x140,0x140,before_seed
