mrp,mrp_sha256,member,offset,stored_length,decoded_length,encoding
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,start.mr,1921,1514,3787,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,mrc_loader.ext,3458,219,232,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,jiantou_t!12!10.bmp,3705,47,240,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,loadingbar!201!29.bmp,3782,1385,11658,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao02!10!10.bmp,5195,91,200,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,bar!16!18.bmp,5308,35,576,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,jiao42!11!6.bmp,5367,48,132,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,target.ani,5434,113,125,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,textbar!120!30.bmp,5574,1544,7200,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,listicon.bmp,7139,184,800,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,target!65!25.bmp,7348,351,3250,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,dirarrow!13!12.bmp,7726,95,312,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao3!10!10.bmp,7848,67,200,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_xian2!15!5.bmp,7941,35,150,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao2!10!10.bmp,8003,67,200,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao22!10!10.bmp,8098,48,200,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao5!11!11.bmp,8173,73,242,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_xian1!15!7.bmp,8272,36,210,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao12!11!11.bmp,8336,51,242,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao1!11!11.bmp,8414,90,242,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,jt!30!16.bmp,8525,148,960,gzip
